Bureau of Justice Statistics,,,,,,,,,,,
File name: p15at08.csv,,,,,,,,,,,
"Appendix Table 8. Percent of prisoners under the jurisdiction of military correctional authority, with sentences of any length, by most serious offense and branch of service, December 31, 2015",,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2015.",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,
,,,,,,,,,,,
"Appendix Table 8. Percent of prisoners under the jurisdiction of military correctional authority, with sentences of any length, by most serious offense and branch of service, December 31, 2015",,,,,,,,,,,
,,,,,,,,,,,
,,,,,Military branch of service,,,,,,
Most serious offense,,Total/a,,Air Force,,Army,,Marine Corps,,Navy,
,Total,100,%,100,%,100,%,100,%,100,%
Sexual,,65.5,%,75,%,69.4,%,65.6,%,72.4,%
,Violent,28.5,,35,,27.2,,32.8,,33.7,
,Nonviolent/b,37,,40,,42.2,,32.8,,38.7,
Other violent,,16.6,%,12.3,%,21.7,%,15.9,%,15.3,%
,Murder/c,7.3,,4.1,,10.5,,6.3,,5.5,
,Manslaughter,0.5,,0.5,,0.3,,0.5,,1.8,
,Robbery,0.5,,0,,1,,0,,0,
,Aggravated/simple assault,7.6,,6.4,,9,,8.5,,7.4,
,Other,0.8,,1.4,,0.8,,0.5,,0.6,
Property,,5.1,%,2.7,%,5,%,9.5,%,6.7,%
,Burglary,0.8,,0.5,,0.7,,2.1,,0.6,
,Larceny-theft,3.3,,1.4,,3.5,,4.8,,5.5,
,Motor vehicle theft,0,,0,,0,,0,,0,
,Fraud,0.5,,0.9,,0.5,,0.5,,0,
,Other,0.5,,0,,0.3,,2.1,,0.6,
Drug/d,,0,%,0,%,0,%,0,%,0,%
Public order,,2.9,%,7.3,%,1.2,%,3.7,%,4.3,%
Military,,2.4,%,2.7,%,2.2,%,5.3,%,1.2,%
Other/unspecified,,0.2,%,0,%,0.5,%,0,%,0,%
,Total number of prisoners,1190,,220,,599,,189,,163,
Note: Counts are based on prisoners sentenced to any length of time under military correctional authority. Does not include pretrial detainees. Coast Guard offense distribution not shown due to too few cases.,,,,,,,,,,,
a/Includes prisoners who served in the Coast Guard (not shown separately).,,,,,,,,,,,
"b/Includes sexual harrassment, indecent exposure and other acts, prostitution, stalking, and other nonviolent sexual misconduct.",,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,
"d/Includes possession, use, trafficking, and other drug crimes.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2015.",,,,,,,,,,,
