Bureau of Justice Statistics,,,,,,,,,
File name: p15at10.csv,,,,,,,,,
"Appendix Table 10. Prisoners under the jurisdiction or in the custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2015",,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,
,,,,,,,,,
"Appendix Table 10. Prisoners under the jurisdiction or in the custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2015",,,,,,,,,
,,Jurisdiction population,,,,,,,
,,,Sentenced to ,,,,Capacity,,
Jurisdiction,,Total/a,more than 1 year/a,,Total custody population,,Rated,Operational,Design
,Total,"10,909","9,740",,"12,913",,,,
American Samoa/b,,/,/,,212,,/,/,/
Guam/c,,721,316,,754,,443,…,443
Commonwealth of the Northern Mariana Islands,,218,153,,218,,559,272,559
Commonwealth of Puerto Rico,,"9,301","8,893",,"11,364",,"14,627","14,632","14,632"
U.S. Virgin Islands/d,,669,378,,577,,468,355,550
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held.",,,,,,,,,
…Not available. Specific type of capacity is not measured by territory.,,,,,,,,,
/Not reported.,,,,,,,,,
a/Does not include counts for American Samoa.,,,,,,,,,
b/American Samoa has not submitted data to National Prisoner Statistics (NPS) since 2011. The data presented here were located in the 2013 American Samoa Statistical Yearbook (http://doc.as.gov/wp-content/uploads/2011/06/2013-Statistical-Yearbook-Final-Draft.pdf) and represent the number of persons in custody as of December 2013. ,,,,,,,,,
c/Guam did not submit 2015 NPS data. Counts were imputed.,,,,,,,,,
d/The U.S. Virigin Islands did not submit 2014 NPS data and had inconsistent 2013 data.  Data used are from 2012.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2015.",,,,,,,,,
