Bureau of Justice Statistics,,,
File name: p15f02.csv,,,
"Figure 2. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 1978–2015",,,
"Report title: Prisoners in 2015,  NCJ 250229",,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 12/29/2016,,,
,,,
"Figure 2. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 1978–2015",,,
,,,
,Number of Prisoners,,
Year,U.S. Prison population,,Annual percent change
1978,307276,,2.3
1979,"314,457",,4.9
1980,"329,821",,12.2
1981,"369,930",,11.9
1982,"413,806",,5.6
1983,"436,855",,5.8
1984,"462,002",,8.8
1985,"502,507",,8.5
1986,"544,972",,7.4
1987,"585,084",,7.3
1988,"627,600",,13.5
1989,"712,364",,8.6
1990,"773,919",,6.7
1991,825559,,6.9
1992,882500,,9.8
1993,969301,,8.8
1994,"1,054,700",,6.7
1995,"1,125,870",,5
1996,"1,181,920",,5
1997,"1,240,660",,5.4
1998,"1,307,150",,4.3
1999,"1,363,690",,2.2
2000,"1,394,230",,0.7
2001,"1,404,030",,2.6
2002,"1,440,140",,2
2003,"1,468,600",,1.9
2004,"1,497,100",,1.9
2005,"1,525,910",,2.8
2006,"1,568,670",,1.8
2007,"1,596,840",,0.7
2008,"1,608,280",,0.4
2009,"1,615,490",,-0.1
2010,"1,613,800",,-0.9
2011,"1,598,970",,-1.8
2012,"1,570,400",,0.4
2013,"1,576,950",,-0.9
2014,"1,562,320",,-2.3
2015,"1,526,790",,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held.",,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 1978–2015.",,,
