Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
File name: p15t03.csv,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, race, and Hispanic origin, December 31, 2005–2015",,,,,,,,,,,,,,,,,
"Report title: Prisoners in 2015- Bulletin,  NCJ 250229",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2005–2015; Federal Justice Statistics Program, 2015; National Corrections Reporting Program, 2014; and Survey of Inmates in State and Federal Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 12/20/2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, race, and Hispanic origin, December 31, 2005–2015",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,
2005,,"1,462,866",,"166,173",,"1,296,693",,"1,364,178",,"98,688",,"497,600",,"572,400",,"306,500",
2006,,"1,504,598",,"173,533",,"1,331,065",,"1,401,261",,"103,337",,"508,700",,"581,400",,"323,600",
2007,,"1,532,851",,"179,204",,"1,353,647",,"1,427,088",,"105,763",,"509,800",,"592,500",,"339,100",
2008,,"1,547,742",,"182,333",,"1,365,409",,"1,441,384",,"106,358",,"517,700",,"598,300",,"338,300",
2009,,"1,553,574",,"187,886",,"1,365,688",,"1,448,239",,"105,335",,"517,400",,"598,100",,"346,900",
2010,,"1,552,669",,"190,641",,"1,362,028",,"1,447,766",,"104,903",,"519,600",,"592,000",,"349,700",
2011,,"1,538,847",,"197,050",,"1,341,797",,"1,435,141",,"103,706",,"516,200",,"581,300",,"349,900",
2012,,"1,511,497",,"196,574",,"1,314,923",,"1,410,208",,"101,289",,"500,600",,"551,200",,"332,200",
2013,,"1,520,403",,"195,098",,"1,325,305",,"1,416,102",,"104,301",,"505,600",,"549,100",,"332,200",
2014,,"1,507,781",,"191,374",,"1,316,407",,"1,401,685",,"106,096",,"506,600",,"539,500",,"326,500",
2015/d,,"1,476,847",,"178,688",,"1,298,159",,"1,371,879",,"104,968",,"499,400",,"523,000",,"319,400",
Percent change,,,,,,,,,,,,,,,,,
,"Average annual, 2005–2014",0.3,%,1.4,%,0.2,%,0.3,%,0.7,%,0.2,%,-0.6,%,0.6,%
,2014–2015,-2.1,,-6.6,,-1.4,,-2.1,,-1.1,,-1.4,,-3.1,,-2.2,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year.",,,,,,,,,,,,,,,,,
"a/Includes prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities.",,,,,,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,,,,,
c/Rounded to the nearest 100.,,,,,,,,,,,,,,,,,
"d/Total and state estimates include imputed counts for Nevada and Oregon, which did not submit 2015 data to National Prisoner Statistics. See Methodology.",,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2005–2015; Federal Justice Statistics Program, 2015; National Corrections Reporting Program, 2014; and Survey of Inmates in State and Federal Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,
