Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
File name: p15t08.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Percent of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by age, sex, race, and Hispanic origin, December 31, 2015",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015; Federal Justice Statistics Program, 2015; National Corrections Reporting Program, 2014; Survey of Inmates in State and Federal Correctional Facilities, 2004; and U.S. Census Bureau, postcensal resident population estimates for January 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Percent of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by age, sex, race, and Hispanic origin, December 31, 2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,Female,,,,,,,,,
Age group,,Total/a,,All males/a,,White/b,,Black/b,,Hispanic,,Other/b,,All females/a,,White/b,,Black/b,,Hispanic,,Other/b,
,Total/c,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
18–19,,0.8,,0.8,,0.5,,1.2,,1,,1.1,,0.5,,0.4,,0.9,,0.6,,0.8,
20–24,,10.5,,10.6,,7.7,,12.5,,11.9,,12.7,,9.2,,8,,11.5,,11.2,,10.2,
25–29,,15.6,,15.4,,13.3,,16.3,,17.3,,16.2,,17.8,,17.5,,17.5,,20.1,,18.1,
30–34,,16.5,,16.3,,15.4,,15.9,,18.3,,17.3,,19,,19,,17.1,,20.7,,19.7,
35–39,,14.6,,14.6,,13.7,,14.5,,16.1,,15,,15.2,,15.6,,13.8,,16.2,,15.7,
40–44,,12.1,,12.1,,12.2,,11.8,,12.4,,12.6,,12.5,,13.1,,12.4,,11.7,,12.6,
45–49,,10.3,,10.3,,11.6,,9.9,,9,,9.5,,10.5,,10.6,,11.5,,8.9,,10.2,
50–54,,8.6,,8.7,,10.6,,8.4,,6.5,,7.1,,7.9,,8.3,,8.3,,5.6,,7.1,
55–59,,5.4,,5.5,,7,,5.2,,3.7,,4.3,,4.1,,4.4,,4.6,,2.8,,3.1,
60–64,,2.8,,2.9,,3.9,,2.5,,2,,2.2,,1.8,,2.1,,1.8,,1.1,,1.6,
65 or older,,2.4,,2.5,,4.1,,1.5,,1.6,,2,,1.2,,1.5,,0.9,,0.6,,0.8,
,Number of sentenced prisoners/d,"1,476,847",,"1,371,879",,"446,700",,"501,300",,"301,500",,"122,400",,"104,968",,"52,700",,"21,700",,"17,900",,"12,700",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year. Federal data include prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities. Includes imputed counts for Nevada and Oregon, which did not submit 2015 data to National Prisoner Statistics. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and Other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,
d/Race and Hispanic origin totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2015; Federal Justice Statistics Program, 2015; National Corrections Reporting Program, 2014; Survey of Inmates in State and Federal Correctional Facilities, 2004; and U.S. Census Bureau, postcensal resident population estimates for January 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,
