Bureau of Justice Statistics,,,,,,,,,,,
Filename: p17t01.csv,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2007–2017",,,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017.",,,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2007–2017",,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,
2007,,"1,596,835",,"199,618",,"1,397,217",,"1,482,524",,"114,311",
2008,,"1,608,282",,"201,280",,"1,407,002",,"1,493,670",,"114,612",
2009,,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013,,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",
2014,,"1,562,319",,"210,567",,"1,351,752",,"1,449,291",,"113,028",
2015,,"1,526,603",,"196,455",,"1,330,148",,"1,415,112",,"111,491",
2016/b,,"1,508,129",,"189,192",,"1,318,937",,"1,396,296",,"111,833",
2017/c,,"1,489,363",,"183,058",,"1,306,305",,"1,378,003",,"111,360",
Percent change,,,,,,,,,,,
,2007–2017,-6.7,%,-8.3,%,-6.5,%,-7.1,%,-2.6,%
,2016–2017,-1.2,,-3.2,,-1,,-1.3,,-0.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year.",,,,,,,,,,,
"a/Includes prisoners held in non-secure, privately operated community corrections facilities and juveniles held in contract facilities.",,,,,,,,,,,
"b/Counts from 2016 have been revised based on updated numbers and may differ from numbers in past reports. Total and state estimates include imputed counts for North Dakota, which did not submit 2016 National Prisoner Statistics (NPS) data. See Methodology.",,,,,,,,,,,
"c/Total and state estimates for 2017 include imputed counts for New Mexico and North Dakota, which did not submit 2017 NPS data. See Methodology.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017.",,,,,,,,,,,
