Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p17t03.csv,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction, sex, race, and Hispanic origin, 2007–2017",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017; Federal Justice Statistics Program, 2017 (preliminary); National Corrections Reporting Program, 2016; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction, sex, race, and Hispanic origin, 2007–2017",,,,,,,,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,
2007,,"1,532,851",,"179,204",,"1,353,647",,"1,427,088",,"105,763",,"499,800",,"592,900",,"330,400",
2008,,"1,547,742",,"182,333",,"1,365,409",,"1,441,384",,"106,358",,"499,900",,"592,800",,"329,800",
2009,,"1,553,574",,"187,886",,"1,365,688",,"1,448,239",,"105,335",,"490,000",,"584,800",,"341,200",
2010,,"1,552,669",,"190,641",,"1,362,028",,"1,447,766",,"104,903",,"484,400",,"572,700",,"345,800",
2011,,"1,538,847",,"197,050",,"1,341,797",,"1,435,141",,"103,706",,"474,300",,"557,100",,"347,800",
2012,,"1,512,430",,"196,574",,"1,315,856",,"1,411,076",,"101,354",,"466,600",,"537,800",,"340,300",
2013,,"1,520,403",,"195,098",,"1,325,305",,"1,416,102",,"104,301",,"463,900",,"529,900",,"341,200",
2014,,"1,507,781",,"191,374",,"1,316,407",,"1,401,685",,"106,096",,"461,500",,"518,700",,"338,900",
2015,,"1,476,847",,"178,688",,"1,298,159",,"1,371,879",,"104,968",,"450,200",,"499,400",,"333,200",
2016/d,,"1,459,948",,"171,482",,"1,288,466",,"1,354,109",,"105,839",,"440,200",,"487,300",,"339,600",
2017/e,,"1,439,808",,"166,203",,"1,273,605",,"1,334,775",,"105,033",,"436,500",,"475,900",,"336,500",
Percent change,,,,,,,,,,,,,,,,,
,2007–2017,-6.1,%,-7.3,%,-5.9,%,-6.5,%,-0.7,%,-12.7,%,-19.7,%,1.9,%
,2016–2017,-1.4,,-3.1,,-1.2,,-1.4,,-0.8,,-0.8,,-2.3,,-0.9,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year and are based on prisoners with a sentence of more than one year. Data for 2016 have been updated with population-count changes for several states.",,,,,,,,,,,,,,,,,
"a/Includes prisoners held in non-secure, privately operated community corrections facilities and juveniles held in contract facilities.",,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic/Latino origin (e.g., white refers to non-Hispanic white; black refers to non-Hispanic black). See Methodology.",,,,,,,,,,,,,,,,,
c/Estimates are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,
"d/Estimates include imputed counts for North Dakota, which did not submit 2016 National Prisoner Statistics data. See Methodology.",,,,,,,,,,,,,,,,,
"e/Estimates include imputed counts for New Mexico and North Dakota, which did not submit 2017 National Prisoner Statistics data. See Methodology.",,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017; Federal Justice Statistics Program, 2017 (preliminary); National Corrections Reporting Program, 2016; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,
