Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p17t08.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Percent of sentenced prisoners under jurisdiction of state or federal correctional authorities, by sex, race, Hispanic origin, and age, December 31, 2017",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2017; Federal Justice Statistics Program, 2017 (preliminary); National Corrections Reporting Program, 2016; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Percent of sentenced prisoners under jurisdiction of state or federal correctional authorities, by sex, race, Hispanic origin, and age, December 31, 2017",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,Female,,,,,,,,,
Age group,,Total,,All male,,White/a,,Black/a,,Hispanic,,"Other/a,b",,,All female,,White/a,,Black/a,,Hispanic,,"Other/a,b",
,Total/c,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%
18–19,,0.8,,0.8,,0.4,,1.1,,0.8,,0.7,,,0.5,,0.2,,1,,0.5,,0.6,
20–24,,9.4,,9.5,,6.4,,11.1,,10.5,,9.9,,,8.2,,6.5,,10.2,,10.3,,9.4,
25–29,,15.8,,15.7,,13.1,,16.8,,17.1,,16.2,,,17.8,,17.3,,17.3,,19.6,,17.6,
30–34,,16.1,,15.8,,15.2,,15.4,,17.6,,17.5,,,19.2,,19.3,,16.8,,20.6,,20.6,
35–39,,15.5,,15.4,,15.1,,15,,16.9,,15.8,,,17,,17.5,,15.3,,18,,18.2,
40–44,,11.8,,11.8,,11.7,,11.7,,12.7,,12.6,,,11.9,,12.2,,11.2,,11.3,,11.8,
45–49,,10.2,,10.2,,11.4,,9.9,,9.4,,9.8,,,10.1,,10.6,,10.2,,8.8,,9.4,
50–54,,8.4,,8.5,,10.1,,8.3,,6.7,,7.5,,,7.5,,7.7,,8.7,,5.7,,6.5,
55–59,,5.9,,6,,7.6,,5.8,,4.2,,4.9,,,4.4,,4.7,,5.1,,3.1,,4.1,
60–64,,3.2,,3.3,,4.3,,3,,2.3,,2.5,,,2,,2,,2,,1.5,,1.8,
65 or older,,2.8,,2.9,,4.6,,1.9,,1.9,,2.4,,,1.4,,1.6,,1,,1,,1.2,
,Number of sentenced prisoners/d,"1,439,800",,"1,334,800",,"387,400",,"456,300",,"317,100",,"173,900",,,"105,000",,"49,100",,"19,600",,"19,400",,"17,000",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with a sentence of more than one year under the jurisdiction of state or federal correctional officials. Federal data include prisoners held in non-secure, privately operated community corrections facilities and juveniles held in contract facilities. Totals include imputed counts for New Mexico and North Dakota, which did not submit 2017 National Prisoner Statistics data. Details may not sum to totals. See Methodology. ",,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic/Latino origin (e.g., white refers to non-Hispanic white; black refers to non-Hispanic black). See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders; American Indians and Alaska Natives; and persons of two or more races.",,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of all ages.,,,,,,,,,,,,,,,,,,,,,,,,
d/Estimates are rounded to the nearest 100.,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017; Federal Justice Statistics Program, 2017 (preliminary); National Corrections Reporting Program, 2016; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,
