Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p17t10.csv,,,,,,,,,,,,
"Table 10. Non-U.S. citizen prisoners in the custody of publicly or privately operated federal or state prisons, not including jails, by sex, December 31, 2017",,,,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2017.",,,,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 10. Non-U.S. citizen prisoners in the custody of publicly or privately operated federal or state prisons, not including jails, by sex, December 31, 2017",,,,,,,,,,,,
,,"Non-U.S. citizen prisoners/a,b",,,,,,Non-U.S. citizen prisoners sentenced to more than 1 year/a,,,,
Jurisdiction,,Total ,Male/c,Female/c,Percent of prison population/d,,,Total ,Male/c,Female/c,Percent of sentenced population/d,
,U.S. total/e,"105,129","77,993","2,959",7.6,%,,"99,855","72,943","2,735",7.5,%
"Federal/f,g",,"35,857","34,314","1,543",19.7,%,,"31,339","29,964","1,375",18.6,%
State/e,,"69,272","43,679","1,416",5.8,%,,"68,516","42,979","1,360",5.8,%
,Alabama,817,730,87,3.7,,,784,697,87,3.9,
,Alaska/h,119,113,6,2.7,,,56,53,3,3,
,Arizona/g,"4,018","3,889",129,9.6,,,"3,930","3,806",124,9.7,
,Arkansas,264,256,8,1.7,,,264,256,8,1.7,
,California/i,"24,177",/,/,18.8,,,"24,177",/,/,18.9,
,Colorado/g,"1,525","1,464",61,7.8,,,"1,525","1,464",61,7.8,
,Connecticut/h,387,371,16,2.8,,,268,260,8,2.9,
,Delaware/h,266,249,17,4.3,,,183,182,1,4.6,
,Florida/g,"5,776","5,613",163,6,,,"5,776","5,613",163,6,
,Georgia/g,"2,552","2,431",121,5.2,,,"2,550","2,429",121,5.3,
,Hawaii/h,128,122,6,2.5,,,83,80,3,2.6,
,Idaho,340,331,9,4.5,,,294,285,9,4.3,
,Illinois,"1,555","1,517",38,3.8,,,"1,555","1,517",38,3.8,
,Indiana/g,560,546,14,2.2,,,560,546,14,2.2,
,Iowa/g,190,180,10,2.1,,,190,180,10,2.1,
,Kansas/g,314,303,11,3.2,,,306,296,10,3.3,
,Kentucky,173,170,3,1.4,,,173,170,3,1.4,
,Louisiana,120,119,1,0.8,,,120,119,1,0.8,
