Bureau of Justice Statistics,,
Filename: p20stf01.csv,,
"Figure 1. Imprisonment rate per 100,000 U.S. residents, by age, 2010–2020",,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2010–2020; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year",,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 12/14/2021,,
,,
"Figure 1. Imprisonment rate per 100,000 U.S. residents, by age, 2010–2020",,
,"Rate per 100,000",
Year,All ages,Age 18 or older
2010,500,656
2011,492,644
2012,480,627
2013,479,624
2014,472,613
2015,459,595
2016,450,583
2017,442,570
2018,431,556
2019,419,539
2020,358,459
"Note: Imprisonment rate is the number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents. Rates are presented for all ages and age 18 or older as of December 31 of each year and are based on prisoners with a sentence of more than 1 year.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2010–2020; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year.",,
