Bureau of Justice Statistics,,,,,,,,,,,
Filename: p20stt01.csv,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2010–2020",,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2010–2020",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2010–2020",,,,,,,,,,,
Year/a,,Total,,Federal/b,,State,,Male,,Female,
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013,,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",
2014,,"1,562,319",,"210,567",,"1,351,752",,"1,449,291",,"113,028",
2015,,"1,526,603",,"196,455",,"1,330,148",,"1,415,112",,"111,491",
2016,,"1,508,129",,"189,192",,"1,318,937",,"1,396,296",,"111,833",
2017,,"1,489,189",,"183,058",,"1,306,131",,"1,377,815",,"111,374",
2018,,"1,464,385",,"179,898",,"1,284,487",,"1,353,595",,"110,790",
2019,,"1,430,165",,"175,116",,"1,255,049",,"1,322,256",,"107,909",
2020,,"1,215,821",,"152,156",,"1,063,665",,"1,132,767",,"83,054",
Percent change,,,,,,,,,,,
,2010–2020,-24.7,%,-27.5,%,-24.2,%,-24.5,%,-26.4,%
,2019–2020,-15,,-13.1,,-15.2,,-14.3,,-23,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,
"a/Total and state estimates for 2019 include imputed counts for Oregon, which did not submit 2019 National Prisoner Statistics data. See Methodology. Counts for 2018 and earlier may have been revised from previous reports.",,,,,,,,,,,
b/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2010–2020.",,,,,,,,,,,
