"Bureau of Justice Statistics",,,,,,,,,,,,
"Filename:  p9902.csv",,,,,,,,,,,,
"Table #: 2.  Prisoners in custody of correctional authorities in the U.S. Territories, yearend 1998 and 1999",,,,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 2.  Prisoners in custody of correctional authorities",,,,,,,,,,,,
"in the U.S. Territories, yearend 1998 and 1999",,,,,,,,,,,,
,,,,,,,,,,,,
,,"Total",,,,,"Sentenced to more than 1 year",,,,,
,,,"   Percent",,,,,"   Percent",,"Incar-",,"Resident "
,"   Advance","   Final","   change,",,,"   Advance","   Final","   change,",,"ceration",,"population,"
,"   1999","   1998","   1998-99",,,"   1999","   1998","   1998-99",,"rate, 1999*",,"midyear 1999"
,,,,,,,,,,,,
"     Total",18394,17824,3.2,"%",,12610,13406,-5.9,"%",294,,4294580
,,,,,,,,,,,,
"American Samoa",108,112,-3.6,,,94,95,-1.1,,147,,63781
"Guam",970,629,54.2,,,288,272,5.9,,190,,151968
"Commonwealth of the ",,,,,,,,,,,,
"  Northern Mariana",,,,,,,,,,,,
"  Islands",71,112,-36.6,,,42,52,-19.2,,61,,69216
"Commonwealth of",,,,,,,,,,,,
"  Puerto Rico",15465,16524,-6.4,,,11933,12747,-6.4,,307,,3890000
"U.S. Virgin Islands",1780,447,298.2,,,253,240,5.4,,212,,119615
,,,,,,,,,,,,
"*The number of prisoners with a sentence of more than 1 year ",,,,,,,,,,,,
"per 100,000 persons in the resident population.  Midyear population",,,,,,,,,,,,
"estimates were provided by the U.S. Bureau of the Census,",,,,,,,,,,,,
"International Data Base.",,,,,,,,,,,,
