"Bureau of Justice Statistics",,,,,,
"Filename:  p9903.csv",,,,,,
"Table #: 3.  Prisoners under military jurisdiction, by branch of service, December 31, 1999 and 1998",,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,
"Contact:  Allen Beck",,,,,,
"Date of version:  8/3/00",,,,,,
,,,,,,
"Table 3.  Prisoners under military jurisdiction, by  branch of service,",,,,,,
"December 31, 1999 and 1998",,,,,,
,,,,,,
,,,,"Percent",,"Percent"
"Branch of ","        Number",,,"change,",,"of prison-"
"service "," 1999",1998,,"1998-99",,"ers 1999"
,,,,,,
"To which",,,,,,
"prisoners belonged",,,,,,
"Total ",2279,2426,,-6.1%,,100.0%
"Air Force",409,484,,-15.5,,17.9
"Army",761,862,,-11.7,,33.4
"Marine Corps",565,682,,-17.2,,24.8
"Navy",523,389,,34.4,,22.9
"Coast Guard",21,9,,133.3,,0.9
,,,,,,
"Holding ",,,,,,
"prisoners",,,,,,
"Total ",2279,2426,,-6.1%,,100.0%
"Air Force",92,128,,-28.1,,4.0
"Army",1026,1115,,-8.0,,45.0
"Marine Corps",480,617,,-22.2,,21.1
"Navy",681,526,,29.5,,29.9
,,,,,,
"Note:  Detail may not add to total because of rounding.",,,,,,
