"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"Filename:  p9910.csv",,,,,,,,,,,,,,,
"Table #:10.  State and Federal prisoners held in private facilites, local jails, ",,,,,,,,,,,,,,,
"or other States' facilities, by jurisdiction, yearend 1999",,,,,,,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 10.   State and Federal prisoners held in private facilites, local jails,",,,,,,,,,,,,,,,
"or other States' facilities, by  jurisdiction, yearend 1999",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,"    In other State or",,,
,,"      Private facilites",,,,,"      Local jails",,,,,"    Federal facilities ",,,
,,,,"Percent of ",,,,,"Percent of",,,,,"Percent of",
,,"Number",,"all inmates/a",,,"Number",,"all inmates/a",,,"Number",,"all inmates/a",
,,,,,,,,,,,,,,,
"      U.S. total",,71208,,5.2,"%",,63635,,4.7,"%",,6952,,0.5,"%"
,,,,,,,,,,,,,,,
"   Federal",,3828,,2.8,,,0,,0.0,,,0,,0.0,
"   State",,67380,,5.5,,,63635,,5.2,,,6952,,0.6,
,,,,,,,,,,,,,,,
"Northeast",,2539,,1.4,"%",,6300,,3.5,"%",,1301,,0.7,
"   Connecticut",,0,,0.0,,,"  -- ",,"  -- ",,,321,,1.7,
"   Maine",,22,,1.3,,,0,,0.0,,,55,,3.2,
"   Massachusetts",,0,,0.0,,,451,,4.0,,,296,,2.6,
"   New Hampshire",,0,,0.0,,,34,,1.5,,,69,,3.1,
"   New Jersey/b",,2517,,8.0,,,4328,,13.7,,,62,,0.2,
"   New York",,0,,0.0,,,1427,,1.9,,,0,,0.0,
"   Pennsylvania",,0,,0.0,,,60,,0.2,,,55,,0.2,
"   Rhode Island/b",,0,,0.0,,,"  -- ",,"  -- ",,,42,,1.4,
"   Vermont/b",,0,,0.0,,,"  -- ",,"  -- ",,,401,,26.1,
,,,,,,,,,,,,,,,
