"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,
"Filename:  p9917.csv",,,,,,,,,,,,,,,,,,,,
"Table #:17.  Partitioning the total growth of sentenced prisoners ",,,,,,,,,,,,,,,,,,,,
"under State jurisdiction, by offense , race and Hispanic origin, 1990-98",,,,,,,,,,,,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,,,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 17.  Partitioning the total growth of sentenced prisoners",,,,,,,,,,,,,,,,,,,,
"under State jurisdiction, by offense, race and Hispanic origin, 1990-98",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"   White prisoners",,,,,,"   Black prisoners",,,,,,"Hispanic prisoners",,,,,,
,,,,,"Increase","Percent ",,,,,"Increase","Percent ",,,,,"Increase",,"Percent ",
,,1990,1998,,"1990-98","of total",,1990,1998,,"1990-98","of total",,1990,1998,,"1990-98",,"of total",
"          Total",,243400,380400,,137000,100,"%",314700,531100,,216400,100,"%",115300,194000,,78700,,100,"%"
,,,,,,,,,,,,,,,,,,,,
"Violent",,117600,180300,,62700,45,,146100,257700,,111600,52,,43700,87600,,43900,,56,
,,,,,,,,,,,,,,,,,,,,
"Property",,75200,104200,,29000,21,,70900,97700,,26800,12,,24200,34000,,9800,,12,
,,,,,,,,,,,,,,,,,,,,
"Drug ",,29600,46300,,16700,12,,79800,134800,,55000,25,,38700,51700,,13000,,18,
,,,,,,,,,,,,,,,,,,,,
"Public-order ",,19700,49200,,29500,21,,16600,39400,,22800,11,,8300,20100,,11800,,15,
,,,,,,,,,,,,,,,,,,,,
"Other",,1300,400,,-900,,,1400,1500,,100,,,400,700,,300,,,
