"Bureau of Justice Statistics",,,,,,,,,,
"Filename:  p9920.csv",,,,,,,,,,
"Table #:20.  Trends in State prison releases, release rates, ",,,,,,,,,,
"and time served by first releases, 1990-98",,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,
,,,,,,,,,,
"Table 20. Trends in State prison releases, release rates,",,,,,,,,,,
"and time served by first releases, 1990-98",,,,,,,,,,
,,,,,,,,,,
,,,,,"Time served by first releases/a",,,,,
,"Number",,"Release ",,,,"Percent serving",,"Percent serving",
"Year","of releases",,"rate/b",,"Mean",,"6 months or less",,"10 years or more",
"1990 ",405374,,37.0,"%",22,"mos.",26.5,"%",1.4,"%"
"1991 ",421687,,36.5,,22,,24.1,,1.4,
"1992 ",430198,,35.5,,22,,26.2,,1.4,
"1993 ",417838,,33.3,,21,,29.0,,1.3,
"1994 ",418372,,30.8,,22,,26.1,,1.3,
,,,,,,,,,,
"1995 ",455140,,31.2,"%",23,,21.0,,1.3,
"1996 ",467193,,30.8,,25,,18.1,,1.4,
"1997 ",489914,,30.8,,27,,16.5,,1.7,
1998,520172,,31.2,,28,,15.2,,2.0,
,,,,,,,,,,
"Note:  All data are limited to inmates with sentences of more than 1 year",,,,,,,,,,
"and exclude escapees, AWOLs, and transfers.",,,,,,,,,,
"a /Includes all perons released for first time on the current sentence.",,,,,,,,,,
"Time served is based on prison time only and excludes jail time credits.",,,,,,,,,,
"b/The number of releases per 100 sentenced prisoners at the beginning ",,,,,,,,,,
"of each year plus the number admitted during the year.",,,,,,,,,,
