"Bureau of Justice Statistics",,,,,,,,,,,,,,
"Filename:  p0108.csv",,,,,,,,,,,,,,
"Table #8:  Women under the jurisdiction of State or Federal correctional authorities, 1995-2001",,,,,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 8. Women under the jurisdiction of State or Federal correctional authorities, 1995-2001",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"       Number of female inmates",,,,"       Percent change          ",,,,,,,,,
,,,,,"2000 to 2001",,"Average, 1995 to 01/a",,"Incarceration rate, 2001/b",,,"Numerator for incarceration rate: Female inmates greater than 1 year, 2001",,"Denominator for incarceration rate: U.S. resident population Jan. 1, 2002"
,"   2001   ",2000,1995,,,"     ",,,,,,,,
,,,,,,,,,,,,,,
"      U.S. total",93031,93234,68468,,-0.2,"%",5.2,"%",58,,,85031,,145657
,,,,,,,,,,,,,,
"    Federal",10973,10245,7398,,7.1,"%",6.8,"%",6,,,8990,,145657
"    State",82058,82989,61070,,-1.1,,5.0,,52,,,76041,,145657
,,,,,,,,,,,,,,
"  Northeast",9111,9082,8401,,0.3,"%",1.4,"%",29,,,8013,,27703
"    Connecticut",1447,1406,975,,2.9,,6.8,,46,,,811,,1765
"    Maine",59,66,36,,-10.6,,8.6,,8,,,55,,664
"    Massachusetts/c",716,663,656,,8.0,,1.5,,13,,,433,,3292
"    New Hampshire",129,120,109,,7.5,,2.8,,20,,,129,,647
"    New Jersey",1628,1650,1307,,-1.3,,3.7,,37,,,1628,,4362
"    New York",3133,3280,3615,,-4.5,,-2.4,,32,,,3133,,9794
"    Pennsylvania",1711,1579,1502,,8.4,,2.2,,27,,,1711,,6316
"    Rhode Island",193,238,157,,-18.9,,3.5,,10,,,56,,549
"    Vermont",95,80,44,,18.8,,13.7,,18,,,57,,314
,,,,,,,,,,,,,,
"  Midwest",14878,14598,10864,,1.9,"%",5.4,"%",45,,,14814,,32965
"    Illinois",2747,2849,2196,,-3.6,,3.8,,43,,,2747,,6354
"    Indiana/c",1542,1452,892,,6.2,,9.6,,49,,,1534,,3108
