"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0120.csv",,,,,,,,,
"Table #20:  Number of sentenced inmate in Federal prisons, by most serious offense, 1990, 1995, and 2000",,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,
,,,,,,,,,
"Table 20.  Number of sentenced inmate in Federal prisons, by most serious offense, 1990, 1995, and 2000",,,,,,,,,
,,,,,,,,,
,,"Number of sentenced inmates in Federal prisons",,,,"Percent change, 1990-2000",,"Percent of total growth, 1990-2000",
,,,,,,,,,
,,"  1990","  1995",2000,,,,,
,,,,,,,,,
"   Total",,56989,88101,129329,,126.9,"%",100.0,"%"
,,,,,,,,,
"Violent offenses",,9557,11321,12973,,35.7,"%",4.7,"%"
"   Homicide/a",,1233,966,1124,,-8.8,,-0.2,
"   Robbery",,5158,6341,9450,,83.2,,5.9,
"   Other violent",,3166,4014,2399,,-24.2,,-1.1,
,,,,,,,,,
"Property offenses",,7935,7524,9849,,24.1,"%",2.6,"%"
"   Burglary",,442,164,280,,-36.7,,-0.2,
"   Fraud",,5113,5629,7497,,46.6,,3.3,
"   Other property",,2380,1731,2072,,-12.9,,-0.4,
,,,,,,,,,
"Drug offenses",,30470,51737,73389,,140.9,"%",59.3,"%"
,,,,,,,,,
"Public-order",,8585,15762,31855,,271.1,"%",32.2,"%"
"   Immigration",,1728,3612,13676,,691.4,,16.5,
"   Weapons",,3073,7519,10652,,246.6,,10.5,
"   Other",,3784,4631,7527,,98.9,,5.2,
,,,,,,,,,
"Other/unspecified/b",,442,1757,1263,,185.7,"%",1.1,"%"
,,,,,,,,,
"Note:  All data are from the BJS Federal justice database.  Data for 1990 and 1995 are for December 31.  Data for 2000 are for September 30.  Data are based on all sentenced inmates, regardless of sentence. ",,,,,,,,,
"a/Includes murder, nonnegligent manslaughter, and negligent manslaughter. ",,,,,,,,,
"b/Includes offenses not classifiable. ",,,,,,,,,
