"Bureau of Justice Statistics",,,,,,,
"Filename:  p01f01.csv",,,,,,,
"Figure #1:  Percent change during 6-month periods in the number of prisoners under the jurisdiction of State correctional authorities, 1995-2001",,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,
"Date of version:  7/5/02",,,,,,,
,,,,,,,
,,,,,,,
"Figure 1.  Percent change during 6-month periods in the number of prisoners under the jurisdiction of State correctional authorities, 1995-2001",,,,,,,
,,,,,,,
,,,"Percent change","Inmates under state jurisdiction",,,
,,,,,,,
,,"Dec 94",,960039,,,
"12/94 to 6/95",,"Jun 95",4.8,1006085,,,
"6/95 to 12/95",,"Dec 95",2.0,1025823,,,
"12/95 to 6/96"," ","Jun 96",3.3,1059336,,,
"6/96 to 12/96",,"Dec 96",1.5,1074976,,,
"12/96 to 6/97",,"Jun 97",3.2,1109616,,,
"6/97 to 12/97",,"Dec 97",1.7,1127986,,,
"12/97 to 6/98",,"Jun 98",2.7,1158594,,,
"6/98 to 12/98",,"Dec 98",1.6,1177532,,,
"12/98 to 6/99*",,"Jun 99",2.2,1203183,1224404,,
"6/99 to 12/99*",,"Dec 99",0.2,1226335,1228559,,
"12/99 to 6/00*",,"Jun 00",1.2,1248414,1242962,,
"6/00 to 12/00*",,"Dec 00",-0.2,1245695,1245845,,
"12/00 to 6/01*",,"Jun 01",0.6,1252743,,,
"6/01 to 12/01",,"Dec 01",-0.3,1249038,,,
,,,,,,,
,1995,1996,1997,1998,1999,2000,2001
"Jan-Jun",4.8,3.3,3.2,2.7,2.2,1.2,0.6
"Jul-Dec",2,1.5,1.7,1.6,0.2,-0.2,-0.3
,,,,,,,
"*Reporting criteria changed from 6/99 to 6/00.  Numbers represent the final counts.  To calculate the percent change for the period 6/99 to 12/99 use 1,224,404 (for 6/99); for the period 12/99 to 6/00 use 1,228,559 (for 12/99); for the per",,,,,,,
