"Bureau of Justice Statistics",,,,,
"Filename:  p01t03.csv",,,,,
"Text Table #3:  U.S. resident population and incarceration rates",,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,
"Data source:  National Prisoner Statistics",,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,
"Date of version:  7/5/02",,,,,
,,,,,
,,,,,
"Text Table 3.  U.S. resident population and incarceration rates",,,,,
,,,,,
,"Estimates (in 1000's) of U.S. resident population at yearend",,,"Number of sentenced inmates per 100,000 U.S. residents at yearend",
,,,,,
,,,,,
,"1990 Census","2000 Census*",,"1990 Census","2000 Census"
1999,274051,281890,,476,463
2000,276578,283461,,481,469
2001," -- ",286200,," -- ",470
,,,,,
" --Not calculated.",,,,,
"*The resident population for yearend 1999 was estimated by calculating the monthly growth rate from April 1, 2000 to July 1, 2000, and assuming a constant rate for the 3 months prior to the April count. ",,,,,
