"Bureau of Justice Statistics",,,,
"Filename:  p0202.csv",,,,
"Table 2:  Change in the State and Federal prison populations, 1995-2002",,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,
"Data source:  National Prisoner Statistics-1B",,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,
"Authors:  Paige Harrison and Allen Beck",,,,
"Date of version:  07/27/03",,,,
,,,,
"Table 2.  Change in the State and Federal prison populations, 1995-2002",,,,
,,,,
,"Annual increase in the number of prisoners",,,
,,,,
,"Custody","Jurisdiction","Percent change*",
1995,88395,71172,6.7,"%"
1996,49222,57494,5.1,
1997,48800,58785,5.0,
1998,47905,58420,4.7,
1999,36957,43796,3.4,
2000,25182,18191,1.3,
2001,13674,14770,1.1,
2002,37849,34623,2.6,
,,,,
"Average annual increase, 1995-2002",,,,
,43422,44697,3.6,"%"
,,,,
"Note:  In years in which States changed their reporting methods, counts based on comparable methods were used to calculate the annual increase and percent change. See Methodology for changes by State. ",,,,
"*Change in the number of prisoners under State and Federal jurisdiction. ",,,,
