"Bureau of Justice Statistics",,,,,,,,
"Filename:  p0207.csv",,,,,,,,
"Table 7:  State and Federal prisoners held in private facilities and local jails, by jurisdiction, yearend 2001 and 2002",,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,
"Date of version:  07/27/03",,,,,,,,
,,,,,,,,
"Table 7.  State and Federal prisoners held in private facilities and local jails, by jurisdiction, yearend 2001 and 2002",,,,,,,,
,,,,,,,,
,"Private facilities",,,,"Local jails     ",,,
"                 ",2002,2001,"Percent of all inmates/a           ",,2002,2001,"Percent of all inmates/a        ",
"U.S. Total",93771,90912,6.5,"%",71256,70681,4.9,"%"
,,,,,,,,
"Federal/b",20274,19251,12.4,,3377,2921,2.1,
"State",73497,71661,5.8,,67879,67760,5.3,
,,,,,,,,
"Northeast",3146,3131,1.8,"%",2234,2593,1.3,"%"
"Connecticut",0,0,0.0,," -- "," -- "," -- ",
"Maine",8,11,0.4,,0,3,0.0,
"Massachusetts",0,0,0.0,,375,420,3.6,
"New Hampshire",0,0,0.0,,11,12,0.4,
"New Jersey/c",2601,2620,9.3,,1528,2019,5.5,
"New York",0,0,0.0,,320,139,0.5,
"Pennsylvania",537,500,1.3,,0,0,0.0,
"Rhode Island/c",0,0,0.0,," -- "," -- "," -- ",
"Vermont/c",0,0,0.0,," -- "," -- "," -- ",
,,,,,,,,
"Midwest",6741,6894,2.7,"%",1814,2192,0.7,"%"
"Illinois",0,0,0.0,,0,0,0.0,
"Indiana",843,915,3.9,,1262,1320,5.8,
"Iowa",0,0,0.0,,0,0,0.0,
"Kansas",0,98,0.0,,0,0,0.0,
"Michigan",460,449,0.9,,30,237,0.1,
"Minnesota",0,0,0.0,,221,184,3.1,
"Missouri",0,0,0.0,,0,0,0.0,
"Nebraska",0,0,0.0,,0,0,0.0,
"North Dakota",23,44,2.1,,9,21,0.8,
"Ohio",1927,1924,4.2,,0,0,0.0,
"South Dakota",32,35,1.1,,12,16,0.4,
"Wisconsin",3456,3429,15.6,,280,414,1.3,
,,,,,,,,
"South",46071,44704,8.0,"%",58727,57782,10.2,"%"
"Alabama",0,0,0.0,,2449,601,8.8,
"Arkansas",0,0,0.0,,1350,951,10.3,
"Delaware",0,0,0.0,," -- "," -- "," -- ",
"Florida",4173,3995,5.5,,47,0,0.1,
"Georgia",4573,4561,9.6,,4975,4682,10.5,
"Kentucky",1635,1028,10.3,,3657,4706,23.0,
"Louisiana",2929,2928,8.2,,16048,16050,44.9,
"Maryland",127,128,0.5,,168,140,0.7,
"Mississippi",3435,3634,15.1,,4550,3736,20.0,
"North Carolina",166,191,0.5,,0,0,0.0,
"Oklahoma",6470,6658,27.7,,1183,903,5.1,
"South Carolina",21,6,0.1,,415,446,1.7,
"Tennessee",4200,3678,16.8,,6717,6230,26.9,
"Texas",16773,16331,10.4,,12375,15158,7.6,
"Virginia",1569,1566,4.7,,3825,3440,11.3,
"West Virginia",0,0,0.0,,968,739,21.3,
,,,,,,,,
"West",17539,16932,6.2,"%",5104,5193,1.8,"%"
"Alaska",1360,1537,30.9,," -- "," -- "," -- ",
"Arizona",1965,1429,6.7,,232,349,0.8,
"California",4649,4452,2.9,,2591,2727,1.6,
"Colorado",2452,2390,13.0,,160,129,0.8,
"Hawaii",1347,1251,24.8,," -- "," -- "," -- ",
"Idaho",1266,1348,20.4,,295,249,4.8,
"Montana",963,1087,29.3,,419,496,12.7,
"Nevada",434,478,4.1,,177,188,1.7,
"New Mexico",2576,2484,43.0,,0,0,0.0,
"Oregon",0,0,0.0,,0,8,0.0,
"Utah",0,0,0.0,,1172,1020,21.1,
"Washington/c",0,0,0.0,,0,0,0.0,
"Wyoming",527,476,30.3,,58,27,3.3,
"                                                 ",,,,,"                                           ",,,
" -- Not applicable. Prison and jails form an integrated system.",,,,,,,,
"a/Based on the total number of inmates under State or Federal jurisdiction.",,,,,,,,
"b/Includes Federal inmates in nonsecure, privately operated facilities",,,,,,,,
"(6,598 in 2002 and 6,515 in 2001). ",,,,,,,,
