"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0210.csv",,,,,,,,,
"Table 10:  Number of detainees under the jurisdiction of the Bureau of Immigration and Customs Enforcement (BICE), by type of facility, yearend 1995, 2001, and 2002",,,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,,
"Date of version:  07/27/03",,,,,,,,,
,,,,,,,,,
"Table 10.  Number of detainees under the jurisdiction of the Bureau of Immigration and Customs Enforcement (BICE), by type of facility, yearend 1995, 2001, and 2002",,,,,,,,,
,,,,,,,,,
,,"Number of detainees",,,,"Percent of all detainees",,,
"Facility type",2002,"2001",1995,"Percent change, 2001-02",,2002,,1995,
"Total*",21065,19136,8177,10.1,"%",100,"%",100,"%"
"BICE-operated facilities",5087,4550,3776,11.8,,24.1,,46.2,
"Private facilities under exclusive contract to BICE",1936,1947,652,-0.6,,9.2,,8.0,
"Federal Bureau of Prisons",1100,1276,1282,-13.8,,5.2,,15.7,
"Other Federal facilities",130,162,181,-19.8,,0.6,,2.2,
"Intergovernmental agreements",12812,11201,2286,14.4,,60.8,,28.0,
"State prisons",453,419,8,8.1,,2.2,,0.1,
"Local jails",9764,8681,1984,12.5,,46.4,,24.3,
"Other facilities",2595,2101,294,23.5,,12.3,,3.6,
,,,,,,,,,
"*Detail does not add due to unknown facility type for 1 detainee in 2001.",,,,,,,,,
