"Bureau of Justice Statistics",,,,,,,,,,
"Filename:  p0211.csv",,,,,,,,,,
"Table 11:  Prisoners under military jurisdiction, by branch of service, 1995, 2001, and 2002",,,,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,,,
"Date of version:  07/27/03",,,,,,,,,,
,,,,,,,,,,
"Table 11.  Prisoners under military jurisdiction, by branch of service, yearend 1995, 2001, and 2002",,,,,,,,,,
,,,,,,,,,,
,,"Total",,"Percent change,",,"Sentenced to more than 1 year",,,"Percent change,",
,2002,2001,1995,"2001-02",,2002,2001,1995,"2001-02",
"Branch of service to which prisoners belonged",,,,,,,,,,
"Total",2377,2436,2838,-2.4,"%",1361,1332,1845,2.2,"%"
"Air Force ",450,480,486,-6.3,,264,267,382,-1.1,
"Army",860,804,1207,7.0,,610,600,995,1.7,
"Marine Corps",565,628,612,-10.0,,265,236,249,12.3,
"Navy",489,516,520,-5.2,,219,226,213,-3.1,
"Coast Guard",13,8,13,62.5,,3,3,6,0.0,
,,,,,,,,,,
"Holding prisoners",,,,,,,,,,
"Total",2377,2436,2838,-2.4,,1361,1332,1845,2.2,"%"
"Air Force ",128,126," -- ",1.6,,14,14," -- ",0.0,
"Army",966,981,1582,-1.5,,767,822,1403,-6.7,
"Marine Corps",478,428,591,11.7,,171,77,188,122.1,
"Navy",805,901,665,-10.7,,409,419,254,-2.4,
,,,,,,,,,,
" -- Not reported. ",,,,,,,,,,
