"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0212.csv",,,,,,,,,
"Table 12:  Prisoners in custody of correctional authorities in the U.S. territories, yearend 2001 and 2002",,,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,,
"Date of version:  07/27/03",,,,,,,,,
,,,,,,,,,
"Table 12:  Prisoners in custody of correctional authorities in the U.S. territories, yearend 2001 and 2002",,,,,,,,,
,,,,,,,,,
,"Total",,,,"Sentenced to more than 1 year",,,,
,2002,2001,"Percent change, 01-02",,2002,2001,"Percent change, 2001-2002",,"Incarceration rate, 2002*"
,,,,,,,,,
"Total",16206,15871,2.1,"%",12296,11933,3.0,"%",286
,,,,,,,,,
"American Samoa",169,155,9.0,,143,125,14.4,,208
"Guam",542,585,-7.4,,261,297,-12.1,,162
"N. Mariana Islands",123,102,20.6,,76,72,5.6,,98
"Puerto Rico",14725,14539,1.3,,11371,11020,3.2,,294
"U.S. Virgin Islands",647,490,32.0,,445,419,6.2,,360
,,,,,,,,,
"*The number of prisoners with a sentence of more than 1 year per 100,000 persons in the resident population.  Midyear population estimates were provided by the U.S Bureau of the Census, International Data Base. ",,,,,,,,,
