"Bureau of Justice Statistics",,,,,,,,
"Filename:  p0213.csv",,,,,,,,
"Table 13:  Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, 2002",,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,
"Date of version:  07/27/03",,,,,,,,
,,,,,,,,
"Table 13.  Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, 2002",,,,,,,,
,,,,,,,,
,,"Male",,,,"Female",,
,"Total","White","Black","Hispanic","Total","White","Black","Hispanic"
"Total",1291326,436800,586700,235000,89044,35400,36000,15000
,,,,,,,,
"18-19",36400,8800,17300,8400,1300,700,500,200
"20-24",218300,59400,105400,47400,8900,3700,3100,2100
"25-29",248400,70700,123000,49300,15900,5500,6500,3000
"30-34",245700,83900,111400,46200,22100,8500,9200,3600
"35-39",220600,79400,102500,34200,19400,7800,8300,2900
"40-44",150200,56300,64600,25300,10700,4100,4700,1400
"45-54",127300,55800,48500,18800,8400,3700,3000,1400
"55 or older",38900,21500,10800,4800,1900,1200,500,200
,,,,,,,,
"Note:  Based on custody counts from National Prisoner Statistics (NPS-1A) and updated from jurisdiction counts by gender at yearend. Estimates by age dervied from the Survey of Inmates in State and Correctional Facilities, 1997. Estimates ",,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, and other Pacific Islanders.",,,,,,,,
"b/Excludes Hispanics. ",,,,,,,,
