"Bureau of Justice Statistics",,,,,,,,
"Filename:  p0214.csv",,,,,,,,
"Table 14:  Number of sentenced prisoners under State or Federal jurisdiction, per 100,000 residents, by gender, race, Hispanic origin, and age, 2002",,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,
"Date of version:  07/27/03",,,,,,,,
,,,,,,,,
"Table 14:  Number of sentenced prisoners under State or Federal jurisdiction, per 100,000 residents, by gender, race, Hispanic origin, and age, 2002",,,,,,,,
,,,,,,,,
,,"      Male",,,,"      Female",,
,"Total","White","Black","Hispanic","Total","White","Black","Hispanic"
"Total",912,450,3437,1176,61,35,191,80
"18-19",869,331,2865,1224,34,26,87,35
"20-24",2109,934,7490,2382,90,59,217,130
"25-29",2577,1229,10376,2394,170,97,498,179
"30-34",2326,1251,8885,2409,213,129,662,216
"35-39",2014,1080,7893,2060,177,106,566,193
"40-44",1316,691,4939,1850,92,51,315,111
"45-54",647,376,2344,1030,41,25,123,76
"55 or older",141,96,479,272,5,4,17,8
,,,,,,,,
"Note:  Based on estimates of the U.S. resident population on July 1, 2002. ",,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, and other Pacific Islanders.",,,,,,,,
"b/Excludes Hispanics. ",,,,,,,,
