"Bureau of Justice Statistics",,,,,,,
"Filename:  p0218.csv",,,,,,,
"Table 18:  Number of sentenced inmates in Federal prisons, by most serious offense, 1995, 2000, and 2001",,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,
"Date of version:  07/27/03",,,,,,,
,,,,,,,
"Table 18.  Number of sentenced inmates in Federal prisons, by most serious offense, 1995, 2000, and 2001",,,,,,,
,,,,,,,
,"Number of sentenced inmates in Federal prisons",,,,,,
,"  1995","  2000",2001,"Percent change, 1995-2001",,"Percent of total growth, 1995-2000",
,,,,,,,
"Total",88658,131739,142766,61.0,"%",100.0,"%"
"Violent offenses",11409,13740,16117,41.3,"%",8.7,"%"
"Homicide/a",1068,1363,2364,121.3,,2.4,
"Robbery",8377,9712,10218,22.0,,3.4,
"Other violent",1964,2665,3535,80.0,,2.9,
"Property offenses",7842,10135,10664,36.0,"%",5.2,"%"
"Burglary",177,462,642,262.7,,0.9,
"Fraud",5823,7506,7617,30.8,,3.3,
"Other property",1842,2167,2405,30.6,,1.0,
"Drug offenses",52782,74276,78501,48.7,"%",47.5,"%"
"Public-order",15655,32325,36443,132.8,"%",38.4,"%"
"Immigration",3420,13676,15012,338.9,,21.4,
"Weapons",7446,10822,12539,68.4,,9.4,
"Other",4789,7827,8892,85.7,,7.6,
"Other/unspecified/b",970,1263,1041,7.3,"%",0.1,"%"
,,,,,,,
"Note: All data are from the BJS Federal justice database.  Data are for September 30 and based on sentenced inmates, regardless of sentence length. ",,,,,,,
"a/Includes murder, nonnegligent manslaughter, and negligent manslaughter. ",,,,,,,
"b/Includes offenses not classifiable. ",,,,,,,
