"Bureau of Justice Statistics",,,,
"Filename:  p02t3.csv",,,,
"Text Table 3:  Percent of sentenced State inmates, by offense ",,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,
"Data source:  National Prisoner Statistics-1B",,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,
"Authors:  Paige Harrison and Allen Beck",,,,
"Date of version:  07/27/03",,,,
,,,,
"Text Table 3.  Percent of sentenced State inmates, by offense ",,,,
,,,,
,"Percent of sentenced State inmates",,,
,1995,,2001,
"Total",100,"%",100,"%"
"Violent",46.5,,49.3,
"Property",22.9,,19.3,
"Drug",21.5,,20.4,
"Public-order",8.7,,10.8,
"Other",0.4,,0.2,
