Bureau of Justice Statistics,,,,,,,,,
Filename: p0311,,,,,,,,,
"Table 11: Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, 2003",,,,,,,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,
Date of version:  11/07/04,,,,,,,,,

"Table 11. Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, 2003",,,,,,,,,

,,,,Number of sentenced prisoners,,,,,
,,       Males,,,,,       Females,,
Age,Total/a,White/b,Black/b,Hispanic,,Total/a,White/b,Black/b,Hispanic
Total,"1,316,495","454,300","586,300","251,900",,"92,785","39,100","35,000","16,200"
18-19,"25,200","7,100","12,600","4,900",,"1,100",400,500,200
20-24,"208,300","59,400","99,900","46,200",,"11,100","4,400","4,200","2,300"
25-29,"231,400","63,100","111,400","54,700",,"13,900","5,600","5,300","2,600"
30-34,"221,000","70,300","100,000","47,900",,"17,200","7,200","6,500","3,100"
35-39,"209,400","75,400","91,900","37,800",,"18,800","7,800","7,300","3,200"
40-44,"182,300","71,700","78,100","27,900",,"15,600","6,800","5,800","2,500"
45-54,"178,400","74,800","73,900","24,800",,"12,400","5,400","4,700","1,800"
55 or older,"57,700","31,900","17,200","7,200",,"2,600","1,400",700,300

"Note: Based on custody counts by race and Hispanic origin from the National Prisoner Statistics (NPS-1A) and updated from jurisdiction counts by gender at yearend. Estimates by age were derived from the National Corrections Reporting Program, 2002. Estimates were rounded to the nearest 100. ",,,,,,,,,
"a/Includes America Indians, Alaska Native, Asians, Native Hawaiians, and other Pacific Islanders. ",,,,,,,,,
b/Excludes Hispanics. ,,,,,,,,,
