Bureau of Justice Statistics,,,,,,,,,
Filename: p03t01,,,,,,,,,
"Text table 1:  Prisoners in custody of correctional authorities in the U.S. Territories and Commonwealths, yearend 2002 and 2003",,,,,,,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,
Date of version:  11/07/04,,,,,,,,,

"Text table 1.  Prisoners in custody of correctional authorities in the U.S. Territories and Commonwealths, yearend 2002 and 2003",,,,,,,,,

,                   Total,,,,Sentenced to more than 1 year,,,,

,2003,2002,"Percent change, 02-03",,2003,2002,"Percent change, 02-03",,"Incarceration rate, 2003*"

     Total,"16,494","16,200",1.8,%,"12,532","12,211",2.6,%,292

American Samoa,174,169,3,%,143,143,0,%,247
Guam,579,546,6,,277,219,26.5,,169
Commonwealth of the Northern Mariana Islands,136,123,10.6,,77,76,1.3,,101
Commonwealth of Puerto Rico,"15,046","14,705",2.3,,"11,667","11,351",2.8,,301
U.S. Virgin Islands,559,657,-14.9,,368,422,-12.8,,338

"*The number of prisoners with a sentence of more than 1 year per 100,000 persons in the resident population.  ",,,,,,,,,
