Bureau of Justice Statistics,,,
Filename: p03t04,,,
"Text table 4:  Trends in age at admission and time served among the sentenced State prisoners, 1995-2002",,,
Report title:  Prisoners in 2003 NCJ 205335,,,
"Data source:  National Prisoner Statistics, 1B",,,
Authors:  Paige M. Harrison and Allen J. Beck,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,
Date of version:  11/07/04,,,

"Text table 4.  Trends in age at admission and time served among the sentenced State prisoners, 1995-2002",,,

,Mean age at admission,,Mean time served
1995,31,,23
1996,31,,25
1997,32,,27
1998,32,,28
1999,33,,29
2000,33,,29
2001,33,,31
2002,33,,30

"Note: Data based on the National Corrections Reporting Program, 1995-2002. Mean age at admission represents the average age of inmates admitted in each year with a sentence of greater than 1 year. Mean time served represents the average time served in prison by sentenced inmates released for the first time on the current offense. ",,,
