Bureau of Justice Statistics,,,,,,,,
Filename: p0406,,,,,,,,
"Table 6: Women under the jurisdiction of State or Federal correctional authorities, by gender, yearend 1995, 2003, and 2004",,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  10/18/05,,,,,,,,

"Table 6. Women under the jurisdiction of State or Federal correctional authorities, by gender, yearend 1995, 2003, and 2004",,,,,,,,

,Number of female inmates,,,    Percent change          ,,,,
,2004,2003,1995,2003 to 2004,     ,Average 1995 to 2004/a     ,,"Incarceration rate, 2004/b       "

U.S. Total,"104,848","100,846","68,468",4.0,%,4.8,%,64
,,,,,,,,
Federal,"12,164","11,635","7,398",4.5,%,5.7,%,7
State,"92,684","89,211","61,070",3.9,,4.7,,57
,,,,,,,,
Northeast,"8,910","9,108","8,401",-2.2,%,0.7,%,27
Connecticut,"1,488","1,548",975,-3.9,,4.8,,44
Maine,125,124,36,0.8,,14.8,,18
Massachusetts/c,741,708,656,4.7,,1.4,,11
New Hampshire,119,117,109,1.7,,1.0,,18
New Jersey,"1,470","1,517","1,307",-3.1,,1.3,,33
New York,"2,789","2,914","3,615",-4.3,,-2.8,,28
Pennsylvania,"1,827","1,823","1,502",0.2,,2.2,,28
Rhode Island,208,222,157,-6.3,,3.2,,11
Vermont,143,135,44,5.9,,14.0,,25
,,,,,,,,
Midwest,"16,545","15,682","10,864",5.5,%,4.8,%,49
Illinois,"2,750","2,700","2,196",1.9,,2.5,,42
Indiana/c,"1,892","1,758",892,7.6,,8.7,,59
Iowa,757,716,425,5.7,,6.6,,50
Kansas,620,629,449,-1.4,,3.7,,45
Michigan/c,"2,113","2,198","1,842",-3.9,,1.5,,41
Minnesota,544,435,217,25.1,,10.8,,21
Missouri,"2,507","2,239","1,174",12.0,,8.8,,85
Nebraska,369,323,211,14.2,,6.4,,39
North Dakota,129,113,29,14.2,,18.0,,41
Ohio,"3,185","2,897","2,793",9.9,,1.5,,54
South Dakota,292,269,134,8.6,,9.0,,74
Wisconsin,"1,387","1,405",502,-1.3,,12.0,,47
,,,,,,,,
South,"44,666","43,057","27,366",3.7,%,5.6,%,74
Alabama,"1,748","2,003","1,295",-12.7,,3.4,,63
Arkansas,962,866,523,11.1,,7.0,,65
Delaware,557,508,358,9.6,,5.0,,50
Florida/c,"5,660","5,165","3,660",9.6,,5.0,,63
Georgia,"3,436","3,145","2,036",9.3,,6.0,,76
Kentucky,"1,560","1,411",734,10.6,,8.7,,68
Louisiana,"2,386","2,405","1,424",-0.8,,5.9,,103
Maryland,"1,180","1,248","1,079",-5.4,,1.0,,39
Mississippi,"1,796","1,755",791,2.3,,9.5,,107
North Carolina/c,"2,430","2,256","1,752",7.7,,3.7,,40
Oklahoma,"2,361","2,320","1,815",1.8,,3.0,,129
South Carolina,"1,562","1,576","1,045",-0.9,,4.6,,66
Tennessee/c,"1,905","1,826",637,4.3,,12.9,,63
Texas,"13,958","13,487","7,935",3.5,,6.5,,100
Virginia,"2,706","2,681","1,659",0.9,,5.6,,71
West Virginia,459,405,129,13.3,,15.1,,48
,,,,,,,,
West,"22,563","21,364","14,439",5.6,%,5.1,%,63
Alaska,397,392,243,1.3,,5.6,,54
Arizona,"2,765","2,656","1,432",4.1,,7.6,,87
California/c,"11,188","10,656","9,082",5.0,,2.3,,60
Colorado,"1,900","1,736",713,9.4,,11.5,,83
Hawaii,699,685,312,2.0,,9.4,,69
Idaho,647,591,212,9.5,,13.2,,92
Montana,473,419,112,12.9,,17.4,,101
Nevada,878,880,530,-0.2,,5.8,,75
New Mexico,581,576,278,0.9,,8.5,,56
Oregon,985,883,465,11.6,,8.7,,54
Utah,510,427,161,19.4,,13.7,,42
Washington,"1,330","1,288",793,3.3,,5.9,,42
Wyoming/c,210,175,106,20.0,,7.9,,83

a/The average annual percent increase from 1995 to 2004.,,,,,,,,
"b/The number of female prisoners with sentences of more than 1 year per 100,000 female U.S. residents. ",,,,,,,,
c/Growth from 1995 to 2004 may be slightly overestimated due to a change in reporting from custody to jurisdiction counts. ,,,,,,,,
