Bureau of Justice Statistics,,,,,,,,,
Filename: p0407.csv,,,,,,,,,
"Table 7: State and Federal prisoners held in private facilities and local jails, by jurisdiction, yearend 2003 and 2004",,,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,
Date of version:  10/18/05,,,,,,,,,

"Table 7. State and Federal prisoners held in private facilities and local jails, by jurisdiction, yearend 2003 and 2004",,,,,,,,,

,,       Private facilities,,,,         Local jails     ,,,
                 ,,2004,2003,Percent of all inmates/a           ,,2004,2003,Percent of all inmates/a        ,
U.S. Total,,"98,901","95,707",6.6,%,"74,378","73,440",5,%

Federal/b,,"24,768","21,865",13.7,,"1,199","3,278",0.7,
State,,"74,133","73,842",5.6,,"73,179","70,162",5.6,

Northeast,,"3,347","3,201",2,%,"1,555","1,911",0.9,%
Connecticut,,0,0,0,, -- , -- , -- ,
Maine,,32,30,1.6,,0,0,0,
Massachusetts,,0,0,0,,236,361,2.3,
New Hampshire,,0,0,0,,9,7,0.4,
New Jersey,,"2,510","2,636",9.4,,"1,258","1,542",4.7,
New York,,0,0,0,,52,1,0.1,
Pennsylvania,,366,535,0.9,,0,0,0,
Rhode Island,,0,0,0,, -- , -- , -- ,
Vermont,,439,0,22.3,, -- , -- , -- ,

Midwest,,"3,479","5,142",1.4,%,"3,273","2,483",1.3,%
Illinois,,0,0,0,,0,20,0,
Indiana,,641,652,2.7,,"2,024","1,724",8.4,
Iowa,,0,0,0,,0,0,0,
Kansas,,0,0,0,,0,0,0,
Michigan,,480,480,1,,52,42,0.1,
Minnesota,,307,177,3.5,,484,363,5.5,
Missouri,,0,0,0,,0,0,0,
Nebraska,,0,0,0,,0,0,0,
North Dakota,,35,0,2.6,,43,44,3.2,
Ohio,,"1,929","1,901",4.3,,0,0,0,
South Dakota,,6,25,0.2,,42,29,1.4,
Wisconsin,,81,"1,907",0.4,,628,261,2.7,

South,,"48,267","48,222",8.1,%,"62,966","60,810",10.5,%
Alabama,,244,"1,698",0.9,,"1,645","1,340",6.4,
Arkansas,,0,0,0,,"1,230","1,016",8.9,
Delaware,,0,0,0,, -- , -- , -- ,
Florida,,"4,328","4,330",5.1,,42,48,0,
Georgia,,"4,693","4,589",9.2,,"5,117","4,949",10,
Kentucky,,"1,746","1,640",9.8,,"5,084","3,969",28.5,
Louisiana,,"2,921","2,918",7.9,,"17,469","16,549",47.3,
Maryland,,127,122,0.5,,135,234,0.6,
Mississippi,,"4,744","3,463",22.6,,"4,624","4,724",22,
North Carolina,,212,215,0.6,,0,0,0,
Oklahoma,,"5,905","6,022",25.3,,"1,807","1,869",7.7,
South Carolina,,6,44,0,,429,424,1.8,
Tennessee,,"5,105","5,049",19.7,,"6,577","6,283",25.4,
Texas,,"16,668","16,570",9.9,,"13,228","13,331",7.9,
Virginia,,"1,568","1,562",4.4,,"4,502","5,106",12.7,
West Virginia,,0,0,0,,"1,077",968,21.3,

West,,"19,040","17,277",6.4,%,"5,385","4,958",1.8,%
Alaska,,"1,392","1,386",30.6,, -- , -- , -- ,
Arizona,,"4,176","2,323",12.8,,186,174,0.6,
California,,"2,989","3,507",1.8,,"2,452","2,415",1.5
Colorado,,"2,819","3,013",13.9,,638,221,3.1
Hawaii,,"1,666","1,478",28,, -- , -- , -- 
Idaho,,"1,263","1,267",19.8,,133,239,2.1
Montana,,"1,166","1,059",30.1,,614,567,15.8
Nevada,,0,0,0,,153,190,1.3
New Mexico,,"2,686","2,751",42.1,,0,0,0
Oregon,,0,0,0,,18,0,0.1
Utah,,0,0,0,,"1,189","1,065",19.9
Washington,,327,0,2,,1,0,0
Wyoming,,556,493,28.1,,1,87,0.1
                                                 ,,,,,,                                           ,,
 -- Not applicable. Prison and jails form an integrated system.,,,,,,,,
a/Based on the total number of inmates under State or Federal jurisdiction.,,,,,,,,
"b/Includes Federal inmates held in privately operated community correctional centers (7,065 in 2004 and 6,471 in 2003). ",,,,,,,,
