Bureau of Justice Statistics,,,,,,,,
Filename: p0411,,,,,,,,
"Table 11: Number of sentenced prisoners under State or Federal jurisdiction per 100,000 residents, by gender, race, Hispanic origin, and age, 2004",,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  10/18/05,,,,,,,,

"Table 11. Number of sentenced prisoners under State or Federal jurisdiction per 100,000 residents, by gender, race, Hispanic origin, and age, 2004",,,,,,,,

,,,Number of sentenced prisoners,,,,,
,,       Males,,,,       Females,,
,Total/a,White/b,Black/b,Hispanic,Total/a,White/b,Black/b,Hispanic
Total,926,463,"3,218","1,220",64,42,170,75
18-19,548,208,"1,810",790,33,20,88,50
20-24,"1,948",886,"6,217","2,357",119,86,272,128
25-29,"2,373","1,172","8,367","2,480",159,110,404,160
30-34,"2,139","1,127","7,368","2,402",147,102,361,148
35-39,"1,986","1,035","7,159","2,256",189,126,492,187
40-44,"1,599",857,"5,870","1,854",142,96,341,158
45-54,893,477,"3,257","1,346",64,40,186,82
55 or older,231,144,780,456,7,5,21,17

"Note: Based on estimates of the U.S resident population on July 1, 2004, by gender, race, Hispanic origin, and age. Detailed categories exclude persons identifying with two or more races. ",,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,
b/Excludes Hispanics. ,,,,,,,,
