Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p0413,,,,,,,,,,,,,,,,,,,,,
"Table 13: Estimated percent of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, 2002",,,,,,,,,,,,,,,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,,,,,,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version:  10/18/05,,,,,,,,,,,,,,,,,,,,,

"Table 13. Estimated percent of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, 2002",,,,,,,,,,,,,,,,,,,,,

,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,,,,,,,,,,
          Total,100.0,%,100.0,%,100.0,%,100.0,%,100.0,%,100.0,%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Violent offenses,50.5,%,51.7,%,33.0,%,49.1,%,51.3,%,50.0,%,,,,,,,,,
Murder/b,12.0,,12.1,,10.2,,10.3,,12.6,,13.7,,,,,,,,,,
Manslaughter,1.4,,1.3,,2.0,,1.6,,1.3,,0.9,,,,,,,,,,
Rape,4.9,,5.2,,0.6,,7.2,,4.0,,3.1,,,,,,,,,,
Other sexual assault,6.6,,6.9,,1.3,,10.3,,3.3,,5.5,,,,,,,,,,
Robbery,13.8,,14.2,,8.0,,8.8,,18.9,,12.7,,,,,,,,,,
Assault,9.4,,9.5,,8.3,,8.3,,9.1,,11.3,,,,,,,,,,
Other violent ,2.4,,2.4,,2.6,,2.6,,2.1,,2.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property offenses,20.4,%,19.9,%,28.7,%,26.4,%,17.6,%,15.7,%,,,,,,,,,
Burglary,10.6,,10.9,,6.0,,13.3,,9.2,,8.0,,,,,,,,,,
Larceny,3.9,,3.5,,9.0,,4.8,,3.6,,3.0,,,,,,,,,,
Motor vehicle theft,1.5,,1.5,,1.0,,1.6,,1.1,,2.2,,,,,,,,,,
Fraud ,2.5,,1.9,,10.5,,3.8,,2.1,,0.9,,,,,,,,,,
Other property,2.0,,2.0,,2.3,,2.8,,1.6,,1.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Drug offenses,21.4,%,20.7,%,31.5,%,14.8,%,25.1,%,27.4,%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Public-order offenses/c,7.1,%,7.1,%,6.1,%,8.9,%,5.6,%,6.2,%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Other/unspecified/d,0.6,%,0.6,%,0.8,%,0.7,%,0.4,%,0.7,%,,,,,,,,,

Note: Data are for inmates with a sentence of more than 1 year under the jurisdiction of State correctional authorities. ,,,,,,,,,,,,,,,,,,,,,
a/Excludes Hispanics. ,,,,,,,,,,,,,,,,,,,,,
b/Includes nonnegligent manslaughter. ,,,,,,,,,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency charges, liquor law violations, and other public-order offenses. ",,,,,,,,,,,,,,,,,,,,,
d/Includes juvenile offenses and unspecified felonies. ,,,,,,,,,,,,,,,,,,,,,
