Bureau of Justice Statistics,,,
Filename: p04t04,,,
"Text table 4: Percent of prisoners under State or Federal jurisdiction by race and ethnicity, 1995, 2003, and 2004",,,
Report title:  Prisoners in 2004 NCJ 210677,,,
"Data source:  National Prisoner Statistics, 1B",,,
Authors:  Paige M. Harrison and Allen J. Beck,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,
Date of version:  10/18/05,,,

"Text table 4: Percent of prisoners under State or Federal jurisdiction by race and ethnicity, 1995, 2003, and 2004",,,
,Percent of prisoners under State or Federal jurisdiction/a,,
,1995,2003,2004
Total,100%,100%,100%
Hispanic,17.6,19,19.2
One race/b,,,
   White,33.5,35,34.3
   Black,45.7,44.1,40.7
   Other races,3.2,1.9,2.9
Two or more races/b, -- , -- ,2.9

a/Based on inmates with a sentence of more than 1 year. ,,,
b/Excludes Hispanics,,,
 --Not collected.     ,,,
