Bureau of Justice Statistics,
Filename: p5highlights,
"Highlights table: The 5 highest and lowest jurisdictions for selected characteristics of the prison population, December 31, 2005",
Report title:  Prisoners in 2005 NCJ 215092,
"Data source:  National Prisoner Statistics, 1B",
Authors:  Paige M. Harrison and Allen J. Beck,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,
Date of version:  11/29/06,

"Highlights table. The 5 highest and lowest jurisdictions for selected characteristics of the inmate population, December, 2005",

Prison population,Number of inmates

5 highest:,

Federal,"187,618"
California,"170,676"
Texas,"169,003"
Florida,"89,768"
New York,"62,743"

5 lowest:,

North Dakota,"1,385"
Maine,"2,023"
Wyoming,"2,047"
Vermont,"2,078"
New Hampshire,"2,530"

"Incarceration rate, 12/31/05","Inmates per 100,000 residents*"

5 highest:,

Louisiana,797
Texas,691
Mississippi,660
Oklahoma,652
Alabama,591

5 lowest:,

Maine,144
Minnesota,180
Rhode Island,189
New Hampshire,192
North Dakota,208

"Growth, 12/31/04 to 12/31/05",Percent change

5 highest:,,

South Dakota,11.9,%
Montana,10.9,
Kentucky,10.4,
Nebraska,7.9,
Alabama,7.7,

5 lowest:,,

Georgia,-4.6,%
Maryland,-2.4,
Louisiana,-2.3,
Mississippi,-2.2,
Arkansas,-2.1,

*Prisoners with a sentence of more than 1 year. 
