Bureau of Justice Statistics,,,,
Filename: p05t05,,,,
"Table 5: Number of prisoners under the jurisdiction of State or Federal correctional authorities, by gender, yearend 1995, 2004, and 2005",,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,
"Data source:  National Prisoner Statistics, 1B",,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,
Date of version:  11/29/06,,,,

"Table 5. Number of prisoners under the jurisdiction of State or Federal correctional authorities, by gender, yearend 1995, 2004, and 2005",,,,

All inmates,Males,,Females,
 12/31/2005,"1,418,406",,"107,518",
 12/31/2004,"1,392,278",,"104,822",
 12/31/1995,"1,057,406",,"68,468",
"Percent change, 2004-05",1.9,%,2.6,%
"Average annual change, 1995-2005",3,%,4.6,%

Sentenced to more than 1 year,,,,
12/31/2005,"1,362,530",,"98,602",
12/31/2004,"1,337,730",,"95,998",
12/31/1995,"1,021,059",,"63,963",

"Percent change, 2004-05",1.9,%,2.7,%
Incarceration rate*,,,,
12/31/2005,929,,65,
12/31/2004,920,,64,
12/31/1995,781,,47,
"*The number of prisoners with a sentence of more than 1 year per 100,000 residents on December 31. ",,,,
