Bureau of Justice Statistics,
Filename: p05t09,
"Table 9: State prison population as a percent of capacity, 1995-2005",
Report title:  Prisoners in 2005 NCJ 215092,
"Data source:  National Prisoner Statistics, 1B",
Authors:  Paige M. Harrison and Allen J. Beck,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,
Date of version:  11/29/06,

"Table 9. State prison population as a percent of capacity, 1995-2005",
,State prisons
Highest capacity,"1,212,576"
Lowest capacity,"1,049,421"

Population as a percent of capacity*,
Highest,
1995,114
2000,100
2001,101
2002,101
2003,100
2004,99
2005,99
Lowest,
1995,125
2000,115
2001,116
2002,117
2003,116
2004,115
2005,114
*Excludes prisoners held in local jails and in privately operated facilities (unless included in the reported capacity). ,
