Bureau of Justice Statistics,,,,,,,,
Filename: p05t11,,,,,,,,
"Table 11: Number of sentenced prisoners under State or Federal jurisdiction per 100,000 residents, by gender, race, Hispanic origin, and age, 2005",,,,,,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  11/29/06,,,,,,,,

"Table 11. Number of sentenced prisoners under State or Federal jurisdiction per 100,000 residents, by gender, race, Hispanic origin, and age, 2005",,,,,,,,

,,,"Number of sentenced prisoners per 100,000 residents",,,,,
,,       Males,,,,       Females,,
Age,Total/a,White/b,Black/b,Hispanic,Total/a,White/b,Black/b,Hispanic
Total,929,471,"3,145","1,244",65,45,156,76
18-19,619,274,"1,920",791,29,20,61,38
20-24,"2,016",948,"6,345","2,493",118,85,248,137
25-29,"2,342","1,098","8,082","2,618",153,113,339,158
30-34,"2,234","1,172","7,726","2,450",177,138,391,165
35-39,"1,953","1,067","6,630","2,255",185,134,435,184
40-44,"1,641",923,"5,472","1,975",145,102,345,164
45-54,899,493,"3,136","1,327",63,41,163,85
55 or older,208,135,697,416,8,6,19,13

"Note: Based on estimates of the U.S resident population on January 1, 2006, by gender, race, Hispanic origin, and age. Detailed categories exclude persons identifying with two or more races. ",,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,
b/Excludes Hispanics. ,,,,,,,,
