Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p05t13,,,,,,,,,,,,
"Table 13: Estimated percent of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, 2003",,,,,,,,,,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,
Date of version:  11/29/06,,,,,,,,,,,,

"Table 13. Estimated percent of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, 2003",,,,,,,,,,,,

Offense,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
          Total,100,%,100,%,100,%,100,%,100,%,100,%

Violent offenses,51.8,%,53,%,34.8,%,50.1,%,52.3,%,53.2,%
Murder/b,12.1,,12.2,,10.5,,10.4,,12.8,,13,
Manslaughter,1.4,,1.4,,2.2,,1.6,,1.4,,1.2,
Rape,4.9,,5.2,,0.6,,7,,3.9,,3.1,
Other sexual assault,7,,7.4,,1.4,,10.9,,3.6,,7.6,
Robbery,14.1,,14.4,,8.4,,8.7,,18.9,,12.9,
Assault,9.9,,10,,8.8,,8.8,,9.5,,12.8,
Other violent ,2.5,,2.5,,2.9,,2.8,,2.2,,2.5,

Property offenses,20.9,%,20.2,%,30,%,26.5,%,17.9,%,17,%
Burglary,11,,11.3,,6.6,,13.5,,9.5,,9.6,
Larceny,3.9,,3.5,,9.4,,4.8,,3.6,,2.7,
Motor vehicle theft,1.6,,1.7,,1.3,,1.8,,1.3,,2.3,
Fraud ,2.4,,1.8,,10.5,,3.7,,2,,1,
Other property,1.9,,1.9,,2.2,,2.7,,1.5,,1.4,

Drug offenses,20,%,19.3,%,29.1,%,14.3,%,23.7,%,22.9,%

Public-order offenses/c,6.9,%,7,%,5.3,%,8.5,%,5.7,%,6.4,%

Other/unspecified/d,0.5,%,0.5,%,0.8,%,0.6,%,0.4,%,0.5,%

Note: Data are for inmates with a sentence of more than 1 year under the jurisdiction of State correctional authorities. Detail may not add to total due to rounding.,,,,,,,,,,,,
a/Excludes Hispanics. ,,,,,,,,,,,,
b/Includes nonnegligent manslaughter. ,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency charges, liquor law violations, and other public-order offenses. ",,,,,,,,,,,,
d/Includes juvenile offenses and unspecified felonies. ,,,,,,,,,,,,
