Bureau of Justice Statistics,,
Filename: p05tt04,,
"Text table 4: Percent of prisoners under State or Federal jurisdiction by race and ethnicity, 1995 and 2005",,
Report title:  Prisoners in 2005 NCJ 215092,,
"Data source:  National Prisoner Statistics, 1B",,
Authors:  Paige M. Harrison and Allen J. Beck,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,
Date of version:  11/29/06,,

"Text table 4: Percent of prisoners under State or Federal jurisdiction by race and ethnicity, 1995 and 2005",,
,Percent of State or Federal prisoners/a,
,1995,2005
Total,100%,100%
Hispanic,17.6,20.2
One race/b,,
   White,33.5,34.6
   Black,45.7,39.5
   Other races,3.2,2.7
Two or more races/b, -- ,3

a/Based on jurisdiction counts of inmates with a sentence of more than 1 year. ,,
b/Excludes Hispanics,,
 --Not collected.     ,,
