Bureau of Justice Statistics,,,,,,,,,,
Filename: p06at01,,,,,,,,,,
"Appendix table 1. Growth in the number of prisoners under State jurisdiction 2000-2006, by rank in 2000",,,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 12/5/07,,,,,,,,,,

"Appendix table 1. Growth in the number of prisoners under State jurisdiction 2000-2006, by rank in 2000",,,,,,,,,,
,,,,,"Change, 2000-2005",,,"Change, 2005-2006",,
Region and juridiction,,12/31/2000,12/31/2005,12/31/2006,Average annual change,Percent change/a,,Annual change,Percent change,
U.S. total,,"1,391,261","1,527,929","1,570,861","27,334",1.9,%,"42,932",2.8,%
,State/b,"1,238,389","1,340,311","1,377,815","20,384",1.6,,"37,504",2.8,
10 largest,,"726,356","759,721","783,962","6,673",0.9,,"24,241",3.2,
,Texas,"166,719","169,003","172,116",457,0.3,,"3,113",1.8,
,California,"163,001","170,676","175,512","1,535",0.9,,"4,836",2.8
,Florida,"71,319","89,768","92,969","3,690",4.7,,"3,201",3.6
,New York,"70,199","62,743","63,315","-1,491",-2.2,,572,0.9
,Michigan,"47,718","49,546","51,577",366,0.8,,"2,031",4.1
,Ohio,"45,833","45,854","49,166",4,0,,"3,312",7.2
,Illinois,"45,281","44,919","45,106",-72,-0.2,,187,0.4
,Georgia/c,"44,232","48,749","52,792",903,2,,"4,043",8.3
,Pennsylvania,"36,847","42,380","44,397","1,107",2.8,,"2,017",4.8
,Louisiana,"35,207","36,083","37,012",175,0.5,,929,2.6
2nd 10,,"262,266","290,286","294,368","5,604",2.1,,"4,082",1.4
,North Carolina,"31,266","36,365","37,460","1,020",3.1,,"1,095",3
,Virginia,"30,168","35,344","36,688","1,035",3.2,,"1,344",3.8
,New Jersey,"29,784","27,359","27,371",-485,-1.7,,12,0
,Missouri,"27,543","30,823","30,167",656,2.3,,-656,-2.1
,Arizona/c,"26,510","33,565","35,892","1,411",4.8,,"2,327",6.9
,Alabama,"26,332","27,888","28,241",311,1.2,,353,1.3
,Maryland,"23,538","22,737","22,945",-160,-0.7,,208,0.9
,Oklahoma,"23,181","26,676","26,243",699,2.8,,-433,-1.6
,Tennessee,"22,166","26,369","25,745",841,3.5,,-624,-2.4
,South Carolina,"21,778","23,160","23,616",276,1.2,,456,2
3rd 10,,"159,359","183,262","189,666","4,781",2.8,,"6,404",3.5
,Wisconsin,"20,754","22,697","23,431",389,1.8,,734,3.2
,Mississippi,"20,241","20,515","21,068",55,0.3,,553,2.7
,Indiana,"20,125","24,455","26,091",866,4,,"1,636",6.7
,Connecticut/d,"18,355","19,442","20,566",217,1.2,,"1,124",5.8
,Colorado,"16,833","21,456","22,481",925,5,,"1,025",4.8
,Kentucky,"14,919","19,662","20,000",949,5.7,,338,1.7
,Washington,"14,915","17,382","17,561",493,3.1,,179,1
,Arkansas,"11,915","13,541","13,729",325,2.6,,188,1.4
,Massachusetts,"10,722","10,701","11,032",-4,0,,331,3.1
,Oregon,"10,580","13,411","13,707",566,4.9,,296,2.2
4th 10,,"65,261","76,563","78,135","2,260",3.2,,"1,572",2.1
,Nevada,"10,063","11,782","12,901",344,3.2,,"1,119",9.5
,Kansas,"8,344","9,068","8,816",145,1.7,,-252,-2.8
,Iowa/c,"7,955","8,737","8,875",156,1.9,,138,1.6
,Delaware/d,"6,921","6,966","7,206",9,0.1,,240,3.4
,Minnesota,"6,238","9,281","9,108",609,8.3,,-173,-1.9
,Utah,"5,637","6,382","6,430",149,2.5,,48,0.8
,Idaho,"5,535","6,818","7,124",257,4.3,,306,4.5
,New Mexico,"5,342","6,571","6,639",246,4.2,,68,1
,Hawaii/d,"5,053","6,146","5,967",219,4,,-179,-2.9
,Alaska/d,"4,173","4,812","5,069",128,2.9,,257,5.3
10 smallest,,"25,147","30,479","31,684","1,066",3.9,,"1,205",4
,Nebraska,"3,895","4,455","4,407",112,2.7,,-48,-1.1
,West Virginia,"3,856","5,312","5,733",291,6.6,,421,7.9
,Rhode Island/d,"3,286","3,654","3,996",74,2.1,,342,9.4
,Montana,"3,105","3,532","3,572",85,2.6,,40,1.1
,South Dakota,"2,616","3,463","3,359",169,5.8,,-104,-3
,New Hampshire,"2,257","2,530","2,805",55,2.3,,275,10.9
,Vermont/d,"1,697","2,078","2,215",76,4.1,,137,6.6
,Wyoming,"1,680","2,047","2,114",73,4,,67,3.3
,Maine,"1,679","2,023","2,120",69,3.8,,97,4.8
,North Dakota,"1,076","1,385","1,363",62,5.2,,-22,-1.6
a/The average annual percentage increase.,,,,,,,,,
b/Excludes D.C. prisoners.,,,,,,,,,
c/Population based on custody counts.,,,,,,,,,
d/Prisons and jails form one integrated system.  Data include total jail and prison population.,,,,,,,,,
