Bureau of Justice Statistics,,,,,,,,,
Filename: p06at07,,,,,,,,,
"Appendix table 7:  Estimated number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, yearend 2006",,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 11/28/07,,,,,,,,,

"Appendix table 7.  Estimated number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, yearend 2006",,,,,,,,,
,,Male/a,,,,Female/a,,,
Age group,,Total/b,White/c,Black/c,Hispanic,Total/b,White/c,Black/c,Hispanic
,Total,"1,399,100","478,000","534,200","290,500","103,100","49,100","28,600","17,500"
18-19,,"22,100","6,300","9,000","4,900","1,000",400,300,200
20-24,,"197,500","58,500","77,500","46,600","11,500","5,400","2,900","2,400"
25-29,,"245,000","68,300","99,200","60,000","16,100","7,500","4,300","3,300"
30-34,,"227,700","68,200","90,900","53,200","17,200","8,200","4,700","3,000"
35-39,,"213,800","72,800","82,600","44,100","19,300","9,100","5,500","3,200"
40-44,,"197,600","75,100","74,100","35,000","17,900","8,700","5,200","2,500"
45-54,,"216,700","88,300","78,900","34,800","16,200","7,700","4,700","2,300"
55 or older,,"76,500","40,100","21,100","11,500","3,700","2,200",800,500
"Note: State sentenced prisoner counts are based on estimates by gender, race, Hispanic origin, and age from the 2004 Survey of Inmates in State Correctional Facilities and updated from jurisdiction counts by gender at yearend 2006.  Federal sentenced prisoner counts are based on from the BJS Federal Justice Statistics Program for September 30, 2006 and updated from jurisdiction counts at yearend 2006.",,,,,,,,,
a/Sentenced prisoners are limited to those sentenced to more than 1 year.,,,,,,,,,
"b/Total includes American Indians, Alaskan Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,
c/Excludes Hispanics and persons identifying two or more races.,,,,,,,,,
