Bureau of Justice Statistics,,,,,,,,,
Filename: p06at08,,,,,,,,,
"Appendix table 8: Estimated number of sentenced prisoners under State or Federal jurisdiction per 100,000 U.S. residents, by gender, race, Hispanic origin, and age, yearend 2006",,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 11/28/07,,,,,,,,,

"Appendix table 8. Estimated number of sentenced prisoners under State or Federal jurisdiction per 100,000 U.S. residents, by gender, race, Hispanic origin, and age, yearend 2006",,,,,,,,,
,,Male/a,,,,Female/a,,,
Age group,,All males/b,White/c,Black/c,Hispanic,All females/b,White/c,Black/c,Hispanic
,Total,943,487,"3,042","1,261",68,48,148,81
18-19,,515,236,"1,454",670,23,15,44,31
20-24,,"1,800",877,"5,153","2,277",113,85,200,142
25-29,,"2,302","1,103","7,384","2,573",159,122,304,179
30-34,,"2,270","1,159","7,657","2,480",177,142,360,165
35-39,,"1,997","1,071","6,685","2,326",183,135,399,194
40-44,,"1,755",989,"5,705","2,120",158,114,352,168
45-54,,"1,012",566,"3,436","1,515",73,49,177,103
55 or older,,248,162,820,510,10,7,23,18
"Note: Based on estimates of the U.S. resident population on January 1, 2007, by gender, race, Hispanic origin, and age. Detailed categories exclude persons identifying two or more races.",,,,,,,,,
a/Sentenced prisoners are limited to those serving sentences of more than 1 year.,,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,
c/Excludes Hispanics and persons identifying two or more races.,,,,,,,,,
