Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p06at10,,,,,,,,,,,,,
"Appendix table 10: Estimated percent of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2004",,,,,,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 12/5/07,,,,,,,,,,,,,

"Appendix table 10. Estimated percent of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2004",,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,52.1,%,53.4,%,34,%,49.8,%,53,%,53.8,%
,Murder/b,11.9,,12,,9.9,,10,,12.8,,12.7,
,Manslaughter,1.4,,1.3,,2,,1.6,,1.3,,1.2,
,Rape,4.7,,5,,0.5,,6.5,,4,,3,
,Other sexual assault,7.4,,7.8,,1.5,,11.6,,3.9,,8.2,
,Robbery,14.1,,14.4,,8.4,,8.5,,19,,12.9,
,Assault,10.1,,10.2,,8.9,,9,,9.8,,13.2,
,Other violent,2.5,,2.5,,2.8,,2.8,,2.3,,2.5,
Property,,20.8,%,20.1,%,30.9,%,26.2,%,17.8,%,17.8,%
,Burglary,10.6,,10.9,,6.5,,12.9,,9.4,,9.7,
,Larceny,4,,3.5,,9.7,,4.8,,3.6,,2.9,
,Motor vehicle theft,1.8,,1.8,,1.6,,2,,1.3,,2.6,
,Fraud,2.6,,2,,10.9,,3.8,,2,,1.2,
,Other property,1.9,,1.9,,2.1,,2.7,,1.5,,1.5,
Drug offenses,,19.6,%,18.9,%,28.7,%,14.8,%,22.9,%,21.4,%
Public-order offenses/c,,7,%,7.1,%,5.5,%,8.5,%,5.9,%,6.5,%
Other/unspecified/d,,0.5,%,0.5,%,0.9,%,0.7,%,0.5,%,0.5,%
Note: Data are for inmates with a sentence of more than 1 year under the jurisdiction of state correctional authorities. Detail may not add to total due to rounding.,,,,,,,,,,,,,
a/Excludes Hispanics.,,,,,,,,,,,,,
b/Includes negligent manslaughter.,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency charges, liquor law violations, and other public-order offenses."
d/Includes juvenile offenses and other unspecified offense categories.
