Bureau of Justice Statistics,,,,,,,,
Filename: p07at08.csv,,,,,,,,
"Appendix table 8. Estimated number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents, by gender, race, Hispanic origin, and age, December 31, 2007",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Appendix table 8. Estimated number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents, by gender, race, Hispanic origin, and age, December 31, 2007",,,,,,,,
,Male/a,,,,Female/a,,,
Age,Total/b,White/c,Black,Hispanic,Total/b,White/c,Black,Hispanic
Total,955,481,"3,138","1,259",69,50,150,79
18-19,539,238,"1,561",656,24,16,47,28
20-24,"1,915",887,"5,580","2,507",114,86,203,134
25-29,"2,256","1,025","7,256","2,624",154,117,303,172
30-34,"2,385","1,214","8,166","2,500",191,157,386,175
35-39,"2,113","1,124","7,215","2,344",199,151,434,191
40-44,"1,859","1,044","6,106","2,111",166,121,364,176
45-49,"1,196",658,"4,013","1,619",93,65,214,113
50-54,719,404,"2,422","1,164",46,31,108,66
55-59,432,274,"1,337",787,22,17,47,36
60-64,266,188,771,526,12,10,26,16
65 and older,95,68,294,200,3,2,5,7
"Note: Based on estimates of the U.S. resident population on January 1, 2008, by gender, race, Hispanic origin, and age. Detailed ",,,,,,,,
categories exclude persons identifying two or more races.,,,,,,,,
a/Sentenced prisoners are limited to those serving sentences of more than 1 year.,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,
c/Excludes Hispanics and persons identifying two or more races.,,,,,,,,
