Bureau of Justice Statistics,,,,,,,
Filename: p07at10.csv,,,,,,,
"Appendix table 10. Estimated number of sentenced prisoners under state jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2005",,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
"Date of version: December 2, 2008",,,,,,,

"Appendix table 10. Estimated number of sentenced prisoners under state jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2005",,,,,,,
,,All inmates,Male,Female,White/a,Black/a,Hispanic
,Total,"1,296,700","1,208,500","88,200","470,700","504,700","240,100"
Violent offenses,,"687,700","656,400","31,200","235,800","275,700","131,500"
,Murder/b,"166,700","156,800","9,800","49,300","72,100","32,200"
,Manslaughter,"16,700","15,100","1,700","6,900","6,500","2,300"
,Rape,"60,800","60,300",500,"30,000","20,900","6,800"
,Other sexual assault,"103,800","102,300","1,500","58,000","21,200","21,500"
,Robbery,"177,900","170,300","7,600","38,700","95,200","30,700"
,Assault,"129,200","121,400","7,700","40,500","48,100","32,000"
,Other violent,"32,500","30,200","2,400","12,400","11,700","6,000"
Property offenses,,"248,900","223,700","25,200","114,700","81,300","38,800"
,Burglary,"124,400","118,800","5,600","54,500","42,900","20,500"
,Larceny,"45,200","38,200","7,100","20,500","16,200","5,700"
,Motor vehicle theft,"22,400","21,100","1,300","9,100","5,500","6,700"
,Fraud,"32,100","22,800","9,200","17,900","9,600","2,400"
,Other property,"24,800","22,800","2,100","12,800","7,200","3,500"
Drug offenses,,"253,300","228,000","25,300","72,300","113,500","51,100"
Public-order offenses/c,,"98,700","93,400","5,300","44,200","31,600","17,500"
Other/unspecified/d,,"8,100","7,100","1,100","3,700","2,600","1,300"
"Note: Data are for inmates sentenced to more than 1 year under the jurisdiction of state correctional authorities. The estimates for gender were based on jurisdiction counts at yearend (NPS 1B). The estimates by race and Hispanic origin were based on data from 2005 Survey of Inmates in State Correctional Facilities and updated by yearend jurisdiction counts; estimates within offense categories were based on offense distributions from the National Corrections Reporting Program, 2005, updated by yearend jurisdiction counts. All estimates were rounded to the nearest 100. Detail may not add to total due to rounding.",,,,,,,
a/Excludes Hispanics and persons identifying two or more races.,,,,,,,
b/Includes negligent manslaughter.,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses."
d/Includes juvenile offenses and other unspecified offense categories.
