Bureau of Justice Statistics,,,,,,
Filename: p07at13.csv,,,,,,
"Appendix table 13. Number of state and federal prisoners under jurisdiction housed in private facilities, December 31, 2000, 2006, and 2007",,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
"Date of version: December 2, 2008",,,,,,

"Appendix table 13. Number of state and federal prisoners under jurisdiction housed in private facilities, December 31, 2000, 2006, and 2007",,,,,,
,,Number of prisoners,,,Percent of prisoners,
Region and jurisdiction,,"2,000",2006,2007,2007,
U.S. Total,,"87,369","113,697","125,975",7.9,%
,Federal/a,"15,524","27,726","31,310",15.7,
,State,"71,845","85,971","94,665",6.8,
Northeast,,"2,509","4,107","4,246",2.4,%
,Connecticut,0,0,0,0,
,Maine,11,19,20,0.9,
,Massachusetts,0,0,0,0,
,New Hampshire,0,0,0,0,
,New Jersey/b,"2,498","2,602","2,686",10,
,New York,0,0,0,0,
,Pennsylvania,0,962,"1,022",2.2,
,Rhode Island,0,0,0,0,
,Vermont/b,0,524,518,24.1,
Midwest,,"7,836","4,364","5,048",1.9,%
,Illinois,0,/,/,:,
,Indiana,991,"1,290","1,683",6.2,
,Iowa,0,0,0,0,
,Kansas,0,0,0,0,
,Michigan,449,0,0,0,
,Minnesota,0,979,"1,183",12.5,
,Missouri,0,0,0,0,
,Nebraska,0,0,0,0,
,North Dakota,96,0,0,0,
,Ohio,"1,918","2,080","2,138",4.2,
,South Dakota,45,12,21,0.6,
,Wisconsin,"4,337",3,23,0.1,
South,,"45,560","53,205","56,117",8.8,%
,Alabama/c,0,9,355,1.2,
,Arkansas,"1,540",0,0,0,
,Delaware,0,0,0,0,
,District of Columbia,"2,342",~,~,:,
,Florida,"3,912","6,350","8,769",8.9,
,Georgia,"3,746","5,075","4,974",9.2,
,Kentucky,"1,268","2,507","2,404",10.7,
,Louisiana,"3,068","3,066","3,004",8,
,Maryland,127,121,151,0.6,
,Mississippi,"3,230","4,860","4,794",21.4,
,North Carolina,330,194,213,0.6,
,Oklahoma,"6,931","5,708","5,917",22.9,
,South Carolina,0,13,9,0,
,Tennessee,"3,510","5,126","5,121",19.5,
,Texas,"13,985","18,627","18,871",11,
,Virginia,"1,571","1,549","1,535",4,
,West Virginia,0,0,0,0,
West,,"15,940","24,295","29,254",9.2,%
,Alaska,"1,383","1,681","1,524",29.5,
,Arizona,"1,430","5,213","7,790",20.6,
,California,"4,547","2,844","5,087",2.9,
,Colorado,... ,"4,855","4,878",21.4,
,Hawaii,"1,187","1,915","2,129",35.6,
,Idaho,"1,162","1,925","1,969",26.9,
,Montana,986,"1,195","1,324",38.2,
,Nevada,508,0,0,0
,New Mexico,"2,155","2,930","2,720",42.1
,Oregon,0,0,0,0
,Utah,208,0,0,0
,Washington/b,0,954,"1,203",6.8
,Wyoming,275,783,630,30.2
/Not reported. ,,,,,
:Not calculated. ,,,,,
"~Not applicable. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,
"a/Includes federal inmates held in non-secure, privately-operated facilities (6,143 in 2000, 7,463 in 2006, and 8,131 in 2007). ",,,,,
b/Includes inmates held in out-of-state private facilities.,,,,,
c/Increase in number is a result of the transfer of prisoners in the state system.,,,,,
