Bureau of Justice Statistics,,,,,,,,
Filename: p07t01.csv,,,,,,,,
"Table 1. Prisoners under state or federal jurisdiction, December 31, 2000, 2006, and 2007",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Table 1. Prisoners under state or federal jurisdiction, December 31, 2000, 2006, and 2007",,,,,,,,
,,Number of prisoners,,,Average annual change 2000-06,,Percent change 2006-07,
,,2000,2006,2007,,,,
Total/a,,"1,391,261","1,570,691","1,598,316",2,%,1.8,%
,Federal,"145,416","193,046","199,618",4.8,,3.4,
,State,"1,245,845","1,377,645","1,398,698",1.7,,1.5,
Gender,,,,,,,,
,Male,"1,298,027","1,457,486","1,483,896",1.9,%,1.8,%
,Female,"93,234","112,459","114,420",3.2,,1.7,
Sentenced to more than 1 year/a,,"1,331,278","1,504,660","1,532,817",2.1,%,1.9,%
 Imprisonment rate/b,,478,501,506,0.7,,1.0,
a/Includes prisoners under the legal authority of state or federalcorrectional officials.,,,,,,,,
"b/Imprisonment rates are based on U.S. Census Bureau population estimates per 100,000 U.S. residents. Resident population estimates are as of January 1 in each year following the reference year.",,,,,,,,
