Bureau of Justice Statistics,,,
Filename: p07t04.csv,,,
"Table 4. Number of sentenced admissions into state prisons, by type of admission, 2000-2007",,,
Report title: Prisoners in 2007 NCJ 224280,,,
"Data source: National Prisoner Statistics, 1b",,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
"Date of version: December 2, 2008",,,

"Table 4. Number of sentenced admissions into state prisons, by type of admission, 2000-2007",,,
,Admissions,,
Year,Total/a,New court commitments,Parole violators/b
2000,"581,487","350,431","203,569"
2001,"593,838","365,714","215,450"
2002,"612,938","392,661","207,961"
2003,"634,149","399,843","209,753"
2004,"646,830","411,300","219,033"
2005,"676,952","421,426","232,229"
2006,"692,303","441,606","239,495"
2007,"697,975","435,733","248,923"
"a/Totals based on inmates with a sentence of more than a year. Totals exclude transfers, escapes, and AWOLs.",,,
"b/Parole violators include prisoners with revoked parole, other conditional release violators, and intermediate sanctions imposed upon parolees in lieu of revoking parole.",,,
