Bureau of Justice Statistics,,,,,,
Filename: p07t06.csv,,,,,,
"Table 6. Imprisonment rates for sentenced prisoners, December 31, 2000, 2006, and 2007",,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
"Date of version: December 2, 2008",,,,,,

"Table 6. Imprisonment rates for sentenced prisoners, December 31, 2000, 2006, and 2007",,,,,,
,,,"Imprisonment rate per 100,000 U.S. residents",,, Change 2000-2007
,,,2000,2006,2007,
Total/a ,,,478,501,506,28
,Male/a,,915,943,955,40
,,White/b,410,487,481,71
,,Black/b,"3,188","3,042","3,138",-50
,,Hispanic or Latino,"1,419","1,261","1,259",-160
,Female/a,,59,68,69,10
,,White/b,33,48,50,17
,,Black/b,175,148,150,-25
,,Hispanic or Latino,78,81,79,1
"Note: Imprisonment rates are based on U.S. Census Bureau population estimates per 100,000 U.S. residents. Resident population estimates are as of January 1 in each year following the reference year.",,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,
