Bureau of Justice Statistics,,,,,,,,,,
Filename: p07t08.csv,,,,,,,,,,
"Table 8. Inmates in custody in state or federal prisons or in local jails, December 31, 2000, 2006, and 2007",,,,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,,,

"Table 8. Inmates in custody in state or federal prisons or in local jails, December 31, 2000, 2006, and 2007",,,,,,,,,,
,,,,Number of inmates,,,"Average annual change, 2000-2006",,"Percent change, 2006-2007",
,,,,2000,2006,2007,,,,
Total inmates in custody/a,,,,"1,937,482","2,258,983","2,293,157",2.6,%,1.5,%
Federal prisoners/b,,,,,,,,,,
,Total,,,"140,064","190,844","197,285",5.3,,3.4,
,,Prisons,,"133,921","183,381","189,154",5.4,,3.1,
,,,Federal facilities,"124,540","163,118","165,975",4.6,,1.8,
,,,Privately-operated facilities,"9,381","20,263","23,179",13.7,,14.4,
,,Community Corrections Centers/c,,"6,143","7,463","8,131",3.3,,9,
State prisoners,,,,"1,176,269","1,302,129","1,315,291",1.7,%,1,%
Inmates held in local jails/d,,,,"621,149","766,010","780,581",3.6,%,1.9,%
Incarceration rate/e,,,,684,751,756,,,,
Note: Counts include all inmates held in public and private adult correctional facilities and in local jails.,,,,,,,,,,
"a/Total includes all inmates held in state or federal public prison facilities or in local jails. It does not include inmates held in U.S. territories, military facilities, U.S. Immigration and Customs Enforcement facilities, jails in Indian Country, and juvenile facilities.",,,,,,,,,,
"b/After 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,,,
"c/Non-secure, privately-operated community corrections centers.",,,,,,,,,,
d/Counts for inmates held in local jails are for the last working day of June in each year. Counts were estimated from the Annual Survey of Jails in every year except 2005 when a Census of Jail Inmates was conducted. See Methodology.,,,,,,,,,,
"e/The total number of inmates in custody per 100,000 U.S. residents. Resident population estimates were as of January 1 of the following year for December 31 estimates.  ",,,,,,,,,,
