Bureau of Justice Statistics,,,,,,,,,
Filename: p09at07.csv,,,,,,,,,
"Appendix table 7: Number of sentenced female prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000-2009",,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,
 ,,,,,,,,,
"Appendix table 7. Number of sentenced female prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000-2009",,,,,,,,,
,Number of sentenced female prisoners,,,,,,,,
Year,Total,,Federal,,State,,,Percent of all sentenced prisoners,
2000,"85,044",,"8,397",,"76,647",,,6.4,%
2001,"85,184",,"8,990",,"76,194",,,6.3,
2002,"89,066",,"9,308",,"79,758",,,6.5,
2003,"92,571",,"9,770",,"82,801",,,6.6,
2004,"95,998",,"10,207",,"85,791",,,6.7,
2005,"98,688",,"10,495",,"88,193",,,6.7,
2006,"103,343",,"11,116",,"92,227",,,6.9,
2007,"105,786",,"11,528",,"94,258",,,6.9,
2008,"106,358",,"11,578",,"94,780",,,6.9,
2009,"105,197",,"11,780",,"93,417",,,6.8,
"Average annual change, 2000-2008",2.8,%,4.1,%,2.7,%,,:,
"Percent change, 2008-2009",-1.1,,1.7,,-1.4,,,:,
Note: Totals based on prisoners with a sentence of more than 1 year.,,,,,,,,,
:Not calculated.,,,,,,,,,
