Bureau of Justice Statistics,,,,,,,,
Filename: p09at11.csv,,,,,,,,
"Appendix table 11: Number of sentenced prisoners admitted into and released from state or federal jurisdiction, by type, December 31, 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
 ,,,,,,,,
"Appendix table 11. Number of sentenced prisoners admitted into and released from state or federal jurisdiction, by type, December 31, 2009",,,,,,,,
,,Admissions,,,,Releases,,
Region and jurisdiction,,Total,New court commitments,Parole violators,,Total,Conditional releases,Unconditional releases
U.S. Total,,"730,860","474,434","242,077",,"729,295","505,536","210,814"
,Federal,"56,153","51,524","4,628",,"50,720","1,479","49,208"
,State,"674,707","422,910","237,449",,"678,575","504,057","161,606"
Northeast,,"67,642","44,684","21,761",,"68,491","49,356","18,424"
,Connecticut,"6,293","4,998","1,124",,"6,850","3,371","3,446"
,Maine,856,530,326,,"1,141",397,741
,Massachusetts,"2,789","2,413",376,,"2,850","1,029","1,796"
,New Hampshire,"1,416",213,728,,"1,564","1,271",183
,New Jersey,"12,251","9,382","2,821",,"12,860","7,976","4,706"
,New York,"24,058","14,874","9,105",,"25,481","22,522","2,684"
,Pennsylvania,"16,914","10,778","5,712",,"14,630","10,529","3,915"
,Rhode Island,959,783,176,,"1,246",550,692
,Vermont,"2,106",713,"1,393",,"1,973","1,711",261
Midwest,,"147,553","97,365","45,060",,"153,082","119,201","29,961"
,Illinois,"37,718","24,807","12,850",,"38,034","32,715","5,241"
,Indiana,"19,689","12,597","6,848",,"19,699","18,418","1,189"
,Iowa,"4,376","3,002","1,078",,"4,648","2,852","1,505"
,Kansas,"4,816","3,535","1,267",,"4,721","3,408","1,290"
,Michigan,"14,955","7,321","4,127",,"18,197","13,540","1,563"
,Minnesota,"7,361","4,789","2,572",,"7,777","6,549","1,215"
,Missouri,"18,216","9,777","8,433",,"18,097","16,018","1,978"
,Nebraska,"2,101","1,812",289,,"2,107","1,065","1,020"
,North Dakota,"1,042",521,521,,"1,003",760,237
,Ohio,"26,864","23,586","3,265",,"26,949","12,922","13,873"
,South Dakota,"3,170","1,297",888,,"3,079","2,734",340
,Wisconsin,"7,245","4,321","2,922",,"8,771","8,220",510
South,,"255,119","190,181","60,459",,"255,959","152,344","98,040"
,Alabama,"13,093","10,562","1,539",,"12,231","7,820","4,207"
,Arkansas,"7,383","5,169","1,911",,"6,990","6,604",331
,Delaware,"1,550","1,283",248,,"1,697","1,355",249
,Florida,"38,050","37,151",121,,"37,167","12,804","24,062"
,Georgia,"17,600","10,030","7,555",,"16,161","1,834","14,193"
,Kentucky,"14,033","10,761","3,272",,"14,138","9,129","4,944"
,Louisiana,"14,940","10,080","4,610",,"14,924","13,654","1,107"
,Maryland,"9,959","6,148","3,807",,"10,807","9,818",919
,Mississippi,"8,239","7,136","1,092",,"9,270","7,042","1,468"
,North Carolina,"11,693","11,186",261,,"11,056","3,167","7,784"
,Oklahoma,"8,120","5,400","2,613",,"8,004","4,133","3,665"
,South Carolina,"9,352","6,349","2,872",,"9,321","4,983","4,181"
,Tennessee,"13,783","8,559","5,224",,"15,762","10,675","5,027"
,Texas,"71,489","46,440","23,876",,"72,320","56,448","13,376"
,Virginia,"12,631","12,205",349,,"13,168","1,342","11,528"
,West Virginia,"3,204","1,722","1,109",,"2,943","1,536",999
West,,"204,393","90,680","110,169",,"201,043","183,156","15,181"
,Alaska*,"2,761",/,/,,"3,196","1,777","1,398"
,Arizona,"14,526","12,454","1,933",,"13,854","10,734","2,242"
,California,"129,705","44,926","84,779",,"128,869","126,841","1,796"
,Colorado,"11,054","5,983","5,053",,"10,858","9,182","1,286"
,Hawaii,"1,714",792,922,,"1,915",746,392
,Idaho,"3,857","3,506",351,,"3,743","3,186",543
,Montana,"2,295","1,671",624,,"2,212","1,950",257
,Nevada,"5,409","4,727",682,,"5,967","3,431","2,497"
,New Mexico,"5,650","2,065","3,221",,"3,650","2,663",965
,Oregon,"5,950","4,226","1,471",,"5,422","5,168",13
,Utah,"3,583","1,951","1,632",,"3,498","2,146","1,335"
,Washington,"17,074","7,679","9,386",,"17,035","14,872","2,101"
,Wyoming,815,700,115,,824,460,356
"Note: Totals based on prisoners with a sentence of more than 1 year. Totals exclude escapees, those absent without leave (AWOL), and transfers to and from other jurisdictions.",,,,,,,,
/Not reported.,,,,,,,,
*New reporting systems prevent the disaggregation of admission and/or release type. ,,,,,,,,
