Bureau of Justice Statistics,,,,,,,,,
Filename: p09at13.csv,,,,,,,,,
"Appendix table 13: Estimated number of sentenced prisoners under state or federal jurisdiction, by sex, race, Hispanic origin, and age, December 31, 2009",,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,
,,,,,,,,,
"Appendix table 13. Estimated number of sentenced prisoners under state or federal jurisdiction, by sex, race, Hispanic origin, and age, December 31, 2009",,,,,,,,,
,Male,,,,,Female,,,
Age,Total/a,White/b,Black/b,Hispanic,,Total/a,White/b,Black/b,Hispanic
Total/c,"1,443,500","479,000","563,500","303,500",,"105,200","51,200","28,200","17,500"
18-19,"23,800","6,500","10,300","5,000",,"1,000",400,300,200
20-24,"209,100","59,400","85,000","49,500",,"11,400","5,500","2,900","2,300"
25-29,"246,700","65,900","102,400","61,100",,"15,800","7,300","4,200","3,100"
30-34,"239,900","71,100","97,000","55,800",,"18,600","9,000","4,900","3,300"
35-39,"228,300","75,400","90,700","47,300",,"20,800","10,000","5,800","3,300"
40-44,"203,900","75,600","77,900","36,700",,"17,900","8,800","4,900","2,700"
45-49,"137,300","53,200","51,400","23,300",,"10,800","5,300","3,000","1,500"
50-54,"76,600","31,900","27,100","12,700",,"5,000","2,500","1,400",700
55-59,"39,600","19,100","12,000","6,400",,"2,200","1,300",500,300
60-64,"19,600","10,900","4,800","3,100",,"1,000",600,200,200
65 or older,"16,100","9,500","3,700","2,200",,600,400,100,100
Note: Totals based on prisoners with a sentence of more than 1 year. See Methodology for estimation method. ,,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,,
b/Excludes persons of Hispanic or Latino origin. ,,,,,,,,,
c/Includes persons under age 18. ,,,,,,,,,
