Bureau of Justice Statistics,,,,,,,,,
Filename: p09at14.csv,,,,,,,,,
"Appendix table 14: Estimated rate of sentenced prisoners under state or federal jurisdiction, per 100,000 U.S. residents, by sex, race, and Hispanic origin, December 31, 2000-2009",,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,
 ,,,,,,,,,
"Appendix table 14. Estimated rate of sentenced prisoners under state or federal jurisdiction, per 100,000 U.S. residents, by sex, race, and Hispanic origin, December 31, 2000-2009",,,,,,,,,
,Male,,Female,,,,,,
Year,Total/a,White/b,Black/b,Hispanic,,Total/a,White/b,Black/b,Hispanic
2000,904,449,"3,457","1,220",,59,34,205,60
2001,896,462,"3,535","1,177",,58,36,199,61
2002,912,450,"3,437","1,176",,61,35,191,80
2003,915,465,"3,405","1,231",,62,38,185,84
2004,926,463,"3,218","1,220",,64,42,170,75
2005,929,471,"3,145","1,244",,65,45,156,76
2006,943,487,"3,042","1,261",,68,48,148,81
2007,955,481,"3,138","1,259",,69,50,150,79
2008,952,487,"3,161","1,200",,68,50,149,75
2009,949,487,"3,119","1,193",,67,50,142,74
"Note: Based on prisoners with a sentence of more than 1 year. Rates are per 100,000 U.S. residents as of January 1 in each reference population group. All estimates include persons under age 18. See Methodology for estimation method.  ",,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,,,,
