Bureau of Justice Statistics,,,,,,,,
Filename: p09at15.csv,,,,,,,,
"Appendix table 15: Estimated number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents, by sex, race, Hispanic origin, and age, December 31, 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
 ,,,,,,,,
"Appendix table 15. Estimated number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents, by sex, race, Hispanic origin, and age, December 31, 2009",,,,,,,,
,Male,,,,Female,,,
Age,Total/a,White/b,Black/b,Hispanic,Total/a,White/b,Black/b,Hispanic
Totalc,949,487,"3,119","1,193",67,50,142,74
18-19,526,242,"1,512",581,23,17,42,24
20-24,"1,874",886,"5,339","2,365",109,86,186,124
25-29,"2,211","1,001","6,927","2,682",149,115,287,164
30-34,"2,348","1,204","7,721","2,481",188,155,361,178
35-39,"2,226","1,220","7,490","2,305",206,164,426,187
40-44,"1,949","1,121","6,447","2,054",172,131,360,171
45-49,"1,219",684,"4,063","1,520",94,67,205,107
50-54,712,408,"2,345","1,073",45,32,101,60
55-59,424,272,"1,291",732,22,18,42,29
60-64,251,180,701,490,11,9,22,22
65 or older,94,69,287,184,3,2,6,4
"Note: Totals based on prisoners with a sentence of more than 1 year. Rates are per 100,000 U.S. residents in each referenced population group on January 1, 2009. See Methodology for estimation method.",,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,
b/Excludes persons of Hispanic or Latino origin. ,,,,,,,,
c/Includes persons under age 18. ,,,,,,,,
