Bureau of Justice Statistics,,,,,,,,,
Filename: p09at21.csv,,,,,,,,,
"Appendix table 21: Number of state or federal prisoners in local jail facilities, December 31, 2000-2009",,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: October 25, 2011",,,,,,,,,
 ,,,,,,,,,
"Appendix table 21. Number of state or federal prisoners in local jail facilities, December 31, 2000-2009",,,,,,,,,
,Number of prisoners in local jail facilities,,,,,,,,
Year,Total,,Federal,,State,,,Percent of all prisoners,
2000,"63,140",,"2,438",,"60,702",,,4.5,%
2001,"70,681",,"2,921",,"67,760",,,5,
2002,"72,550",,"3,377",,"69,173",,,5,
2003,"73,440",,"3,278",,"70,162",,,5,
2004,"74,445",,"1,199",,"73,246",,,5,
2005,"73,164",,"1,044",,"72,120",,,4.8,
2006,"77,912",,"2,010",,"75,902",,,5,
2007,"80,621",,"2,144",,"78,477",,,5,
2008,"83,497",,"2,738",,"80,759",,,5.2,
2009,"86,653",,"2,896",,"83,757",,,5.4,
"Average annual change, 2000-2008",3.6,%,1.5,%,3.6,%,,:,
"Percent change, 2008-2009",3.8,,5.8,,3.7,,,:,
:Not calculated.,,,,,,,,,
