Bureau of Justice Statistics,,,,
Filename: p09f02.csv,,,,
"Figure 2: Change in the number of prisoners under state and federal jurisdiction, 2000-2009",,,,
Report title: Prisoners in 2009 NCJ 231675,,,,
"Data source: National Prisoner Statistics, 1b",,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
"Date of version: December 21, 2010",,,,
,,,,
"Figure 2. Change in the number of prisoners under state and federal jurisdiction, 2000-2009",,,,
,Percent change,,,
On December 31,State,,Federal,
2000,1.4,%,7.5,%
2001,0.1,,8,
2002,2.4,,4.2,
2003,1.5,,5.8,
2004,1.6,,4.2,
2005,1.8,,4,
2006,2.7,,2.9,
2007,1.6,,3.4,
2008,0.7,,0.8,
2009,-0.2,,3.4,
