Bureau of Justice Statistics,,
Filename: p09f03.csv,,
"Figure 3: Number and imprisonment rate of sentenced prisoners under federal jurisdiction, 1990-2009",,
Report title: Prisoners in 2009 NCJ 231675,,
"Data source: National Prisoner Statistics, 1b",,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,
"Date of version: December 21, 2010",,
,,
"Figure 3. Number and imprisonment rate of sentenced prisoners under federal jurisdiction, 1990-2009",,
On December 31,Number of sentenced prisoners,Imprisonment rate
1990,"50,403",21
1991,"56,696",22
1992,"65,706",26
1993,"74,399",29
1994,"79,795",30
1995,"83,663",32
1996,"88,815",33
1997,"94,987",35
1998,"103,682",38
1999,"114,275",42
2000,"125,044",45
2001,"136,509",48
2002,"143,040",49
2003,"151,919",52
2004,"159,137",54
2005,"166,173",56
2006,"173,533",58
2007,"179,204",59
2008,"182,333",60
2009,"187,886",61
