Bureau of Justice Statistics,,
Filename: p09f05.csv,,
"Figure 5: Number of sentenced prisoners admitted into and released from state or federal prison, 2000-2009",,
Report title: Prisoners in 2009 NCJ 231675,,
"Data source: National Prisoner Statistics, 1b",,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,
"Date of version: December 21, 2010",,
,,
"Figure 5. Number of sentenced prisoners admitted into and released from state or federal prison, 2000-2009",,
On December 31,Admissions,Releases
2000,"625,219","604,858"
2001,"638,978","628,626"
2002,"661,712","630,176"
2003,"686,437","656,384"
2004,"699,812","672,202"
2005,"733,009","701,632"
2006,"749,798","713,473"
2007,"742,875","721,161"
2008,"744,616","735,454"
2009,"730,989","729,295"
