Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p09t01.csv,,,,,,,,,,,,,,
"Table 1: Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000-2009",,,,,,,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000-2009",,,,,,,,,,,,,,
Year,Total,,Federal,,State,,Male,,Female,,Sentenced to more than 1 year/a,,Imprisonment rate/b,
2000,"1,391,261",,"145,416",,"1,245,845",,"1,298,027",,"93,234",,"1,331,278",,478,
2001,"1,404,032",,"156,993",,"1,247,039",,"1,311,053",,"92,979",,"1,345,217",,470,
2002,"1,440,144",,"163,528",,"1,276,616",,"1,342,513",,"97,631",,"1,380,516",,476,
2003,"1,468,601",,"173,059",,"1,295,542",,"1,367,755",,"100,846",,"1,408,361",,482,
2004,"1,497,100",,"180,328",,"1,316,772",,"1,392,278",,"104,822",,"1,433,728",,486,
2005,"1,527,929",,"187,618",,"1,340,311",,"1,420,303",,"107,626",,"1,462,866",,491,
2006,"1,569,945",,"193,046",,"1,376,899",,"1,457,486",,"112,459",,"1,504,660",,501,
2007,"1,598,245",,"199,618",,"1,398,627",,"1,483,740",,"114,505",,"1,532,850",,506,
2008,"1,609,759",,"201,280",,"1,408,479",,"1,495,110",,"114,649",,"1,547,742",,504,
2009,"1,613,740",,"208,118",,"1,405,622",,"1,500,278",,"113,462",,"1,548,721",,502,
"Average annual change, 2000-2008",1.8,%,4.1,%,1.5,%,1.8,%,2.6,%,1.9,%,0.7,%
"Percent change, 2008-2009",0.2,,3.4,,-0.2,,0.3,,-1,,0.1,,-0.4,
"Note: Jurisdiction refers to the legal authority over a prisoner, regardless of where the prisoner is held.",,,,,,,,,,,,,,
"a/Includes prisoners under the legal authority of state or federal correctional officials with sentences of more than 1 year, regardless of where they are held.",,,,,,,,,,,,,,
"b/Imprisonment rate is the number of prisoners sentenced to more than 1 year under state or federal jurisdiction per 100,000 U.S. residents. Resident population estimates are from the U.S. Census Bureau for January 1 of the following year for the yearend estimates. ",,,,,,,,,,,,,,
